id	level	description
47413	sf	lambda repressor-like DNA-binding domains
47446	sf	Signal peptide-binding domain
47454	sf	A DNA-binding domain in eukaryotic transcription factors
47459	sf	HLH, helix-loop-helix DNA-binding domain
47473	sf	EF-hand
47565	sf	Insect pheromone/odorant-binding proteins
47571	sf	Cloroperoxidase
47576	sf	Calponin-homology domain, CH-domain
47587	sf	Domain of poly(ADP-ribose) polymerase
47592	sf	SWIB/MDM2 domain
47598	sf	Ribbon-helix-helix
47616	sf	GST C-terminal domain-like
47644	sf	Methionine synthase domain
47648	sf	Nucleoside phosphorylase/phosphoribosyltransferase N-terminal domain
47655	sf	STAT
47661	sf	t-snare proteins
47668	sf	N-terminal domain of cbl (N-cbl)
47672	sf	Transferrin receptor-like dimerisation domain
47676	sf	Conserved domain common to transcription factors TFIIS, elongin A, CRSP70
47681	sf	C-terminal domain of B transposition protein
47686	sf	Anaphylotoxins (complement system)
47694	sf	Cytochrome c oxidase subunit h
47699	sf	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin
47719	sf	p53 tetramerization domain
47724	sf	Domain of early E2A DNA-binding protein, ADDBP
47729	sf	IHF-like DNA-binding proteins
47741	sf	CO dehydrogenase ISP C-domain like
47752	sf	Protein HNS-dependent expression A; HdeA
47757	sf	Chemotaxis receptor methyltransferase CheR, N-terminal domain
47762	sf	PAH2 domain
47769	sf	SAM/Pointed domain
47781	sf	RuvA domain 2-like
47789	sf	C-terminal domain of RNA polymerase alpha subunit
47794	sf	Rad51 N-terminal domain-like
47798	sf	Barrier-to-autointegration factor, BAF
47802	sf	DNA polymerase beta, N-terminal domain-like
47807	sf	5' to 3' exonuclease, C-terminal subdomain
47819	sf	HRDC-like
47823	sf	lambda integrase-like, N-terminal domain
47831	sf	Enzyme I of the PEP:sugar phosphotransferase system HPr-binding (sub)domain
47836	sf	Retroviral matrix proteins
47852	sf	Hepatitis B viral capsid (hbcag)
47857	sf	Apolipophorin-III
47862	sf	Saposin
47869	sf	Bacteriocin AS-48
47874	sf	Annexin
47895	sf	Transducin (alpha subunit), insertion domain
47912	sf	Wiscott-Aldrich syndrome protein, WASP, C-terminal domain
47917	sf	C-terminal domain of alpha and beta subunits of F1 ATP synthase
47923	sf	Ypt/Rab-GAP domain of gyp1p
47928	sf	N-terminal domain of the delta subunit of the F1F0-ATP synthase
47933	sf	ERP29 C domain-like
47938	sf	Functional domain of the splicing factor Prp18
47943	sf	Retrovirus capsid protein, N-terminal core domain
47954	sf	Cyclin-like
47973	sf	Ribosomal protein S7
47979	sf	Iron-dependent repressor protein, dimerization domain
47986	sf	DEATH domain
48008	sf	GntR ligand-binding domain-like
48013	sf	NusB-like
48019	sf	post-AAA+ oligomerization domain-like
48024	sf	N-terminal domain of DnaB helicase
48029	sf	FliG
48034	sf	Guanido kinase N-terminal domain
48045	sf	Scaffolding protein gpD of bacteriophage procapsid
48050	sf	Hemocyanin, N-terminal domain
48056	sf	Di-copper centre-containing domain
48065	sf	DBL homology domain (DH-domain)
48076	sf	LigA subunit of an aromatic-ring-opening dioxygenase LigAB
48081	sf	Methyl-coenzyme M reductase alpha and beta chain C-terminal domain
48092	sf	Transcription factor STAT-4 N-domain
48097	sf	Regulator of G-protein signaling, RGS
48108	sf	Carbamoyl phosphate synthetase, large subunit connection domain
48113	sf	Heme-dependent peroxidases
48140	sf	Ribosomal protein L19 (L19e)
48145	sf	Influenza virus matrix protein M1
48150	sf	DNA-glycosylase
48163	sf	An anticodon-binding domain of class I aminoacyl-tRNA synthetases
48168	sf	R1 subunit of ribonucleotide reductase, N-terminal domain
48173	sf	Cryptochrome/photolyase FAD-binding domain
48179	sf	6-phosphogluconate dehydrogenase C-terminal domain-like
48201	sf	Uteroglobin-like
48208	sf	Six-hairpin glycosidases
48225	sf	Seven-hairpin glycosidases
48230	sf	Chondroitin AC/alginate lyase
48239	sf	Terpenoid cyclases/Protein prenyltransferases
48256	sf	Citrate synthase
48264	sf	Cytochrome P450
48295	sf	TrpR-like
48300	sf	Ribosomal protein L7/12, oligomerisation (N-terminal) domain
48305	sf	Class II MHC-associated invariant chain ectoplasmic trimerization domain
48310	sf	Aldehyde ferredoxin oxidoreductase, C-terminal domains
48317	sf	Acid phosphatase/Vanadium-dependent haloperoxidase
48334	sf	DNA repair protein MutS, domain III
48340	sf	Interferon-induced guanylate-binding protein 1 (GBP1), C-terminal domain
48345	sf	A virus capsid protein alpha-helical domain
48350	sf	GTPase activation domain, GAP
48366	sf	Ras GEF
48371	sf	ARM repeat
48403	sf	Ankyrin repeat
48425	sf	Sec7 domain
48431	sf	Lipovitellin-phosvitin complex, superhelical domain
48435	sf	Bacterial muramidases
48439	sf	Protein prenylyltransferase
48445	sf	14-3-3 protein
48452	sf	TPR-like
48464	sf	ENTH/VHS domain
48479	sf	Cytochrome c oxidase subunit E
48484	sf	Lipoxigenase
48493	sf	gene 59 helicase assembly protein
48498	sf	Tetracyclin repressor-like, C-terminal domain
48508	sf	Nuclear receptor ligand-binding domain
48537	sf	Phospholipase C/P1 nuclease
48552	sf	Serum albumin-like
48557	sf	L-aspartase-like
48576	sf	Terpenoid synthases
48592	sf	GroEL equatorial domain-like
48600	sf	Chorismate mutase II
48608	sf	Peridinin-chlorophyll protein
48613	sf	Heme oxygenase-like
48619	sf	Phospholipase A2, PLA2
48647	sf	Fungal elicitin
48652	sf	Tetraspanin
48657	sf	FinO-like
48662	sf	Ribosomal protein L39e
48666	sf	Methanol dehydrogenase subunit
48670	sf	Transducin (heterotrimeric G protein), gamma chain
48674	sf	Fe-only hydrogenase smaller subunit
48678	sf	Moesin tail domain
48682	sf	Nuclear receptor coactivator Src-1
48686	sf	Proteinase A inhibitor IA3
48690	sf	Epsilon subunit of mitochondrial F1F0-ATP synthase
48695	sf	Multiheme cytochromes
48726	sf	Immunoglobulin
49265	sf	Fibronectin type III
49299	sf	PKD domain
49303	sf	beta-Galactosidase/glucuronidase domain
49309	sf	Transglutaminase, two C-terminal domains
49313	sf	Cadherin-like
49319	sf	Actinoxanthin-like
49329	sf	Cu,Zn superoxide dismutase-like
49344	sf	CBD9-like
49348	sf	Clathrin adaptor appendage domain
49354	sf	PapD-like
49363	sf	Purple acid phosphatase, N-terminal domain
49367	sf	Superoxide reductase-like
49373	sf	Invasin/intimin cell-adhesion fragments
49380	sf	Diphtheria toxin, C-terminal domain
49384	sf	Carbohydrate-binding domain
49401	sf	Bacterial adhesins
49410	sf	Alpha-macroglobulin receptor domain
49417	sf	p53-like transcription factors
49441	sf	Cytochrome f, large domain
49447	sf	Second domain of Mu2 adaptin subunit (ap50) of ap2 adaptor
49452	sf	Starch-binding domain-like
49464	sf	Carboxypeptidase regulatory domain-like
49468	sf	VHL
49472	sf	Transthyretin (synonym: prealbumin)
49478	sf	Cna protein B-type domain
49482	sf	Aromatic compound dioxygenase
49493	sf	HSP40/DnaJ peptide-binding domain
49498	sf	alpha-Amylase inhibitor tendamistat
49503	sf	Cupredoxins
49562	sf	C2 domain (Calcium/lipid-binding domain, CaLB)
49584	sf	Periplasmic chaperone C-domain
49590	sf	PHL pollen allergen
49594	sf	Rab geranylgeranyltransferase alpha-subunit, insert domain
49599	sf	TRAF domain-like
49606	sf	Neurophysin II
49695	sf	gamma-Crystallin-like
49723	sf	Lipase/lipooxygenase domain (PLAT/LH2 domain)
49742	sf	PHM/PNGase F
49749	sf	Group II dsDNA viruses VP
49758	sf	Calpain large subunit, middle domain (domain III)
49764	sf	HSP20-like chaperones
49772	sf	Ecotin, trypsin inhibitor
49777	sf	PEBP-like
49785	sf	Galactose-binding domain-like
49818	sf	Viral protein domain
49830	sf	ENV polyprotein, receptor-binding domain
49835	sf	Virus attachment protein globular domain
49842	sf	TNF-like
49854	sf	Spermadhesin, CUB domain
49863	sf	Hyaluronate lyase-like, C-terminal domain
49870	sf	Osmotin, thaumatin-like protein
49879	sf	SMAD/FHA domain
49889	sf	Soluble secreted chemokine inhibitor, VCCI
49894	sf	Baculovirus p35 protein
49899	sf	Concanavalin A-like lectins/glucanases
49998	sf	Amine oxidase catalytic domain
50012	sf	EV matrix protein
50017	sf	gp9
50022	sf	ISP domain
50037	sf	C-terminal domain of transcriptional repressors
50044	sf	SH3-domain
50084	sf	Myosin S1 fragment, N-terminal domain
50090	sf	Electron transport accessory proteins
50104	sf	Translation proteins SH3-like domain
50118	sf	Cell growth inhibitor/plasmid maintenance toxic component
50122	sf	DNA-binding domain of retroviral integrase
50129	sf	GroES-like
50151	sf	SacY-like RNA-binding domain
50156	sf	PDZ domain-like
50176	sf	N-terminal domains of the minor coat protein g3p
50182	sf	Sm-like ribonucleoproteins
50193	sf	Ribosomal protein L14
50199	sf	Staphylococcal nuclease
50203	sf	Bacterial enterotoxins
50242	sf	TIMP-like
50249	sf	Nucleic acid-binding proteins
50324	sf	Inorganic pyrophosphatase
50331	sf	MOP-like
50341	sf	CheW-like
50346	sf	PRC-barrel domain
50353	sf	Cytokine
50370	sf	Ricin B-like lectins
50382	sf	Agglutinin
50386	sf	STI-like
50405	sf	Actin-crosslinking proteins
50443	sf	FucI/AraA C-terminal domain-like
50447	sf	Translation proteins
50465	sf	EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain
50475	sf	FMN-binding split barrel
50486	sf	FMT C-terminal domain-like
50494	sf	Trypsin-like serine proteases
50610	sf	mu transposase, C-terminal domain
50615	sf	N-terminal domain of alpha and beta subunits of F1 ATP synthase
50621	sf	Alanine racemase C-terminal domain-like
50630	sf	Acid proteases
50677	sf	ValRS/IleRS/LeuRS editing domain
50685	sf	Barwin-like endoglucanases
50692	sf	ADC-like
50715	sf	Ribosomal protein L25-like
50723	sf	Core binding factor beta, CBF
50729	sf	PH domain-like
50784	sf	Transcription factor IIA (TFIIA), beta-barrel domain
50789	sf	Herpes virus serine proteinase, assemblin
50800	sf	PK beta-barrel domain-like
50809	sf	XRCC4, N-terminal domain
50814	sf	Lipocalins
50876	sf	Avidin/streptavidin
50882	sf	beta-Barrel protease inhibitors
50886	sf	D-aminopeptidase, middle and C-terminal domains
50891	sf	Cyclophilin-like
50904	sf	Oncogene products
50911	sf	Mannose 6-phosphate receptor domain
50916	sf	Rap30/74 interaction domains
50923	sf	Hemopexin-like domain
50934	sf	Tachylectin-2
50939	sf	Sialidases
50952	sf	Soluble quinoprotein glucose dehydrogenase
50956	sf	Thermostable phytase (3-phytase)
50960	sf	TolB, C-terminal domain
50965	sf	Galactose oxidase, central domain
50969	sf	YVTN repeat-like/Quinoprotein amine dehydrogenase
50974	sf	Nitrous oxide reductase, N-terminal domain
50978	sf	WD40 repeat-like
50985	sf	RCC1/BLIP-II
50989	sf	Clathrin heavy-chain terminal domain
50993	sf	Peptidase/esterase 'gauge' domain
50998	sf	Quinoprotein alcohol dehydrogenase-like
51004	sf	C-terminal (heme d1) domain of cytochrome cd1-nitrite reductase
51011	sf	Glycosyl hydrolase domain
51045	sf	WW domain
51055	sf	Carbohydrate binding domain
51064	sf	Head domain of nucleotide exchange factor GrpE
51069	sf	Carbonic anhydrase
51081	sf	Bacteriochlorophyll A protein
51087	sf	Outer surface protein
51092	sf	Vitelline membrane outer protein-I (VMO-I)
51096	sf	delta-Endotoxin (insectocide), middle domain
51101	sf	Mannose-binding lectins
51110	sf	alpha-D-mannose-specific plant lectins
51120	sf	beta-Roll
51126	sf	Pectin lyase-like
51156	sf	Insect cysteine-rich antifreeze protein
51161	sf	Trimeric LpxA-like enzymes
51177	sf	An insect antifreeze protein
51182	sf	RmlC-like cupins
51197	sf	Clavaminate synthase-like
51206	sf	cAMP-binding domain-like
51215	sf	Regulatory protein AraC
51219	sf	TRAP-like
51225	sf	Fibre shaft of virus attachment proteins
51230	sf	Single hybrid motif
51246	sf	Rudiment single hybrid motif
51261	sf	Duplicated hybrid motif
51269	sf	AFP III-like domain
51274	sf	Head decoration protein D (gpD, major capsid protein D)
51278	sf	Urease, beta-subunit
51283	sf	dUTPase-like
51289	sf	Tlp20, baculovirus telokin-like protein
51294	sf	Hedgehog/intein (Hint) domain
51306	sf	LexA/Signal peptidase
51316	sf	Mss4-like
51322	sf	Cyanovirin-N
51327	sf	Head-binding domain of phage P22 tailspike protein
51332	sf	E2 regulatory, transactivation domain
51338	sf	Composite domain of metallo-dependent hydrolases
51344	sf	Epsilon subunit of F1F0-ATP synthase N-terminal domain
51351	sf	Triosephosphate isomerase (TIM)
51366	sf	Ribulose-phoshate binding barrel
51391	sf	Thiamin phosphate synthase
51395	sf	FMN-linked oxidoreductases
51412	sf	Inosine monophosphate dehydrogenase (IMPDH)
51419	sf	PLP-binding barrel
51430	sf	NAD(P)-linked oxidoreductase
51445	sf	(Trans)glycosidases
51556	sf	Metallo-dependent hydrolases
51569	sf	Aldolase
51604	sf	Enolase C-terminal domain-like
51621	sf	Phosphoenolpyruvate/pyruvate domain
51645	sf	Malate synthase G
51649	sf	RuBisCo, C-terminal domain
51658	sf	Xylose isomerase-like
51679	sf	Bacterial luciferase-like
51690	sf	Nicotinate/Quinolinate PRTase C-terminal domain-like
51695	sf	PLC-like phosphodiesterases
51703	sf	Cobalamin (vitamin B12)-dependent enzymes
51713	sf	tRNA-guanine transglycosylase
51717	sf	Dihydropteroate synthetase-like
51726	sf	UROD/MetE-like
51730	sf	FAD-linked oxidoreductase
51735	sf	NAD(P)-binding Rossmann-fold domains
51905	sf	FAD/NAD(P)-binding domain
51971	sf	Nucleotide-binding domain
51984	sf	MurCD N-terminal domain
51989	sf	Glycosyl hydrolases family 6, cellulases
51998	sf	PFL-like glycyl radical enzymes
52009	sf	Phosphohistidine domain
52016	sf	LeuD/IlvD-like
52021	sf	Carbamoyl phosphate synthetase, small subunit N-terminal domain
52025	sf	PA domain
52029	sf	GroEL apical domain-like
52038	sf	Barstar-related
52042	sf	Ribosomal protein L32e
52047	sf	RNI-like
52058	sf	L domain-like
52075	sf	Outer arm dynein light chain 1
52080	sf	Ribosomal proteins L15p and L18e
52087	sf	CRAL/TRIO domain
52091	sf	SpoIIaa-like
52096	sf	ClpP/crotonase
52113	sf	BRCT domain
52121	sf	Lumazine synthase
52129	sf	Caspase-like
52141	sf	Uracil-DNA glycosylase-like
52151	sf	FabD/lysophospholipase-like
52156	sf	Initiation factor IF2/eIF5b, domain 3
52161	sf	Ribosomal protein L13
52166	sf	Ribosomal protein L4
52172	sf	CheY-like
52200	sf	Toll/Interleukin receptor TIR domain
52206	sf	Hypothetical protein MTH538
52210	sf	Succinyl-CoA synthetase domains
52218	sf	Flavoproteins
52242	sf	Cobalamin (vitamin B12)-binding domain
52255	sf	N5-CAIR mutase (phosphoribosylaminoimidazole carboxylase, PurE)
52266	sf	SGNH hydrolase
52279	sf	Beta-D-glucan exohydrolase, C-terminal domain
52283	sf	Formate/glycerate dehydrogenase catalytic domain-like
52304	sf	Type II 3-dehydroquinate dehydratase
52309	sf	N-(deoxy)ribosyltransferase-like
52313	sf	Ribosomal protein S2
52317	sf	Class I glutamine amidotransferase-like
52335	sf	Methylglyoxal synthase-like
52343	sf	Ferredoxin reductase-like, C-terminal NADP-linked domain
52374	sf	Nucleotidylyl transferase
52402	sf	Adenine nucleotide alpha hydrolases-like
52413	sf	UDP-glucose/GDP-mannose dehydrogenase C-terminal domain
52418	sf	Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain
52425	sf	Cryptochrome/photolyase, N-terminal domain
52440	sf	PreATP-grasp domain
52467	sf	DHS-like NAD/FAD-binding domain
52490	sf	Tubulin nucleotide-binding domain-like
52499	sf	Isochorismatase-like hydrolases
52507	sf	Homo-oligomeric flavin-containing Cys decarboxylases, HFCD
52518	sf	Thiamin diphosphate-binding fold (THDP-binding)
52540	sf	P-loop containing nucleoside triphosphate hydrolases
52728	sf	PTS IIb component
52733	sf	Nicotinate mononucleotide:5,6-dimethylbenzimidazole phosphoribosyltransferase (CobT)
52738	sf	Methylesterase CheB, C-terminal domain
52743	sf	Subtilisin-like
52768	sf	Arginase/deacetylase
52777	sf	CoA-dependent acyltransferases
52788	sf	Phosphotyrosine protein phosphatases I
52794	sf	PTS system IIB component-like
52799	sf	(Phosphotyrosine protein) phosphatases II
52821	sf	Rhodanese/Cell cycle control phosphatase
52833	sf	Thioredoxin-like
52913	sf	RNA 3'-terminal phosphate cyclase, RPTC, insert domain
52922	sf	TK C-terminal domain-like
52935	sf	PK C-terminal domain-like
52943	sf	ATP synthase (F1-ATPase), gamma subunit
52949	sf	Macro domain-like
52954	sf	Class II aaRS ABD-related
52964	sf	TolB, N-terminal domain
52968	sf	B12-dependent dehydatase associated subunit
52972	sf	ITPase-like
52980	sf	Restriction endonuclease-like
53032	sf	tRNA-intron endonuclease catalytic domain-like
53036	sf	Eukaryotic RPB5 N-terminal domain
53041	sf	Resolvase-like
53056	sf	beta-carbonic anhydrase, cab
53062	sf	PTS system fructose IIA component-like
53067	sf	Actin-like ATPase domain
53092	sf	Creatinase/prolidase N-terminal domain
53098	sf	Ribonuclease H-like
53137	sf	Translational machinery components
53146	sf	Nitrogenase accessory factor-like
53150	sf	DNA repair protein MutS, domain II
53155	sf	Methylated DNA-protein cysteine methyltransferase domain
53163	sf	HybD-like
53167	sf	Purine and uridine phosphorylases
53178	sf	Peptidyl-tRNA hydrolase-like
53182	sf	Pyrrolidone carboxyl peptidase (pyroglutamate aminopeptidase)
53187	sf	Zn-dependent exopeptidases
53213	sf	LigB-like
53218	sf	Molybdenum cofactor biosynthesis proteins
53223	sf	Aminoacid dehydrogenase-like, N-terminal domain
53244	sf	MurD-like peptide ligases, peptide-binding domain
53254	sf	Phosphoglycerate mutase-like
53271	sf	PRTase-like
53300	sf	vWA-like
53323	sf	Pyruvate-ferredoxin oxidoreductase, PFOR, domain III
53328	sf	Formyltransferase
53335	sf	S-adenosyl-L-methionine-dependent methyltransferases
53383	sf	PLP-dependent transferases
53448	sf	Nucleotide-diphospho-sugar transferases
53474	sf	alpha/beta-Hydrolases
53590	sf	Nucleoside hydrolase
53597	sf	Dihydrofolate reductase-like
53613	sf	Ribokinase-like
53623	sf	MurD-like peptide ligases, catalytic domain
53633	sf	Carbamate kinase-like
53639	sf	AraD/HMP-PK domain-like
53649	sf	Alkaline phosphatase-like
53659	sf	Isocitrate/Isopropylmalate dehydrogenase-like
53671	sf	Aspartate/ornithine carbamoyltransferase
53681	sf	Aspartate/glutamate racemase
53686	sf	Tryptophan synthase beta subunit-like PLP-dependent enzymes
53697	sf	SIS domain
53706	sf	Formate dehydrogenase/DMSO reductase, domains 1-3
53720	sf	ALDH-like
53732	sf	Aconitase iron-sulfur domain
53738	sf	Phosphoglucomutase, first 3 domains
53743	sf	FucI/AraA N-terminal and middle domains
53748	sf	Phosphoglycerate kinase
53756	sf	UDP-Glycosyltransferase/glycogen phosphorylase
53774	sf	Glutaminase/Asparaginase
53784	sf	Phosphofructokinase
53790	sf	Tetrapyrrole methylase
53795	sf	PEP carboxykinase-like
53800	sf	Chelatase
53807	sf	"Helical backbone" metal receptor
53822	sf	Periplasmic binding protein-like I
53850	sf	Periplasmic binding protein-like II
53901	sf	Thiolase-like
53920	sf	Fe-only hydrogenase
53927	sf	Cytidine deaminase-like
53933	sf	Microbial ribonucleases
53955	sf	Lysozyme-like
54001	sf	Cysteine proteinases
54060	sf	His-Me finger endonucleases
54076	sf	RNase A-like
54098	sf	Prion-like
54106	sf	LysM domain
54111	sf	Urease, gamma-subunit
54117	sf	Interleukin 8-like chemokines
54160	sf	Chromo domain-like
54171	sf	DNA-binding domain
54184	sf	Penicillin-binding protein 2x (pbp-2x), c-terminal domain
54189	sf	Ribosomal proteins S24e, L23 and L15e
54197	sf	HIT-like
54211	sf	Ribosomal protein S5 domain 2-like
54236	sf	Ubiquitin-like
54277	sf	CAD & PB1 domains
54285	sf	MoaD/ThiS
54292	sf	2Fe-2S ferredoxin-like
54328	sf	Staphylokinase/streptokinase
54334	sf	Superantigen toxins, C-terminal domain
54358	sf	Immunoglobulin-binding domains
54364	sf	Translation initiation factor IF3, N-terminal domain
54368	sf	Glutamine synthetase, N-terminal domain
54373	sf	FAD-linked reductases, C-terminal domain
54403	sf	Cystatin/monellin
54416	sf	Amine oxidase N-terminal region
54423	sf	DsbC/DsbG N-terminal domain-like
54427	sf	NTF2-like
54441	sf	Uracil-DNA glycosylase inhibitor protein
54447	sf	ssDNA-binding transcriptional regulator domain
54452	sf	MHC antigen-recognition domain
54495	sf	UBC-like
54506	sf	Diaminopimelate epimerase-like
54511	sf	GFP-like
54518	sf	Tubby C-terminal domain-like
54523	sf	Pili subunits
54529	sf	Mitochondrial glycoprotein MAM33-like
54534	sf	FKBP-like
54552	sf	Colicin E3 immunity protein
54556	sf	Chitinase insertion domain
54565	sf	Ribosomal protein S16
54570	sf	Ribosomal protein S19
54575	sf	Ribosomal protein L31e
54580	sf	Allophycocyanin linker chain (domain)
54585	sf	Cdc48 domain 2-like
54593	sf	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase
54611	sf	SecB-like
54616	sf	DNA-binding domain of Mlu1-box binding protein MBP1
54621	sf	Heme-binding protein A (HasA)
54626	sf	Chalcone isomerase
54631	sf	CBS-domain pair
54637	sf	Thioesterase/thiol ester dehydrase-isomerase
54648	sf	DLC
54654	sf	CI-2 family of serine protease inhibitors
54665	sf	CO dehydrogenase molybdoprotein N-domain-like
54675	sf	Nicotinate/Quinolinate PRTase N-terminal domain-like
54680	sf	Pyrimidine nucleoside phosphorylase C-terminal domain
54686	sf	Ribosomal protein L16p/L10e
54690	sf	Molybdopterin synthase subunit MoaE
54695	sf	POZ domain
54713	sf	Elongation factor Ts (EF-Ts), dimerisation domain
54719	sf	Fe,Mn superoxide dismutase (SOD), C-terminal domain
54736	sf	ClpS-like
54747	sf	Ribosomal L11/L12e N-terminal domain
54752	sf	RecA protein, C-terminal domain
54757	sf	Anti-lipopolysaccharide factor
54762	sf	Signal recognition particle alu RNA binding heterodimer, SRP9/14
54768	sf	dsRNA-binding domain-like
54782	sf	Porphobilinogen deaminase (hydroxymethylbilane synthase), C-terminal domain
54786	sf	YcfA/nrd intein domain
54791	sf	Eukaryotic type KH-domain (KH-domain type I)
54806	sf	Alpha-lytic protease prodomain
54810	sf	GMP synthetase C-terminal dimerisation domain
54814	sf	Prokaryotic type KH domain (KH-domain type II)
54821	sf	Ribosomal protein S3 C-terminal domain
54826	sf	Enolase N-terminal domain-like
54843	sf	Ribosomal protein L22
54849	sf	GroEL-intermediate domain like
54857	sf	DNA damage-inducible protein DinI
54862	sf	4Fe-4S ferredoxins
54893	sf	Aspartate carbamoyltransferase, Regulatory-chain, N-terminal domain
54897	sf	Protease propeptides/inhibitors
54909	sf	Dimeric alpha+beta barrel
54913	sf	GlnB-like
54919	sf	Nucleoside diphosphate kinase, NDK
54928	sf	RNA-binding domain, RBD
54957	sf	Viral DNA-binding domain
54966	sf	RuBisCO, large subunit, small (N-terminal) domain
54975	sf	Acylphosphatase/BLUF domain-like
54980	sf	EF-G C-terminal domain-like
54984	sf	eEF-1beta-like
54991	sf	Anticodon-binding domain of PheRS
54995	sf	Ribosomal protein S6
54999	sf	Ribosomal protein S10
55003	sf	PAP/Archaeal CCA-adding enzyme, C-terminal domain
55008	sf	HMA, heavy metal-associated domain
55021	sf	ACT-like
55031	sf	Bacterial exopeptidase dimerisation domain
55035	sf	NAD-binding domain of HMG-CoA reductase
55040	sf	Molybdenum cofactor biosynthesis protein C, MoaC
55044	sf	TRADD, N-terminal domain
55048	sf	Probable ACP-binding domain of malonyl-CoA ACP transacylase
55052	sf	CheY-binding domain of CheA
55056	sf	Killer toxin KP6 alpha-subunit
55060	sf	GHMP Kinase, C-terminal domain
55064	sf	Translational regulator protein regA
55068	sf	Peptide methionine sulfoxide reductase
55073	sf	Nucleotide cyclase
55083	sf	6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase, HPPK
55088	sf	Methyl-coenzyme M reductase subunits
55103	sf	FAD-linked oxidases, C-terminal domain
55112	sf	Formylmethanofuran:tetrahydromethanopterin formyltransferase
55116	sf	Formiminotransferase domain of formiminotransferase-cyclodeaminase.
55120	sf	Pseudouridine synthase
55124	sf	Nitrite/Sulfite reductase N-terminal domain-like
