SeqID	Architecture
ENSP00000412463	81321
ENSP00000413910	81321
ENSP00000366331	_gap_,81321
ENSP00000373041	_gap_,81321
ENSP00000373139	_gap_,81321
ENSP00000392071	_gap_,81321
ENSP00000399042	_gap_,81321
ENSP00000405030	_gap_,81321
ENSP00000405164	_gap_,81321
ENSP00000410649	_gap_,81321
ENSP00000366404	57850,57845,_gap_,49899
ENSP00000383555	57850,57845,_gap_,49899
ENSP00000392787	57850,57845,_gap_,49899
ENSP00000405229	57850,57845,_gap_,49899
ENSP00000414793	57850,57845,_gap_,49899
ENSP00000366399	57850,57845,_gap_,49899
ENSP00000388622	57850,57845,_gap_,49899
ENSP00000411026	57850,57845,_gap_,49899
ENSP00000412445	57850,57845,_gap_,49899
ENSP00000416281	57850,57845,_gap_,49899
ENSP00000414955	49899
ENSP00000348248	_gap_,53822,_gap_
ENSP00000366211	_gap_,53822,_gap_
ENSP00000373029	_gap_,53822,_gap_
ENSP00000373035	_gap_,53822,_gap_
ENSP00000373132	_gap_,53822,_gap_
ENSP00000373135	_gap_,53822,_gap_
ENSP00000391572	_gap_,53822,_gap_
ENSP00000394528	_gap_,53822,_gap_
ENSP00000405709	_gap_,53822,_gap_
ENSP00000406285	_gap_,53822,_gap_
ENSP00000406499	_gap_,53822,_gap_
ENSP00000408938	_gap_,53822,_gap_
ENSP00000411263	_gap_,53822,_gap_
ENSP00000416903	_gap_,53822,_gap_
ENSP00000416731	_gap_,57535,57535,53822,_gap_
ENSP00000412044	_gap_,57535,53822,_gap_
ENSP00000448763	_gap_,57535,57535,53822
ENSP00000394134	_gap_
ENSP00000396675	_gap_
ENSP00000401725	_gap_
ENSP00000398440	_gap_,109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,_gap_
ENSP00000412591	81321
ENSP00000415545	81321
ENSP00000449041	81321
ENSP00000421346	81321
ENSP00000424840	81321
ENSP00000447118	81321
ENSP00000448923	81321
ENSP00000390448	81321
ENSP00000404869	81321
ENSP00000404787	81321
ENSP00000409994	81321
ENSP00000447267	81321
ENSP00000373137	54236,54236
ENSP00000396477	54236,54236
ENSP00000398539	54236,54236
ENSP00000373038	81321
ENSP00000409339	81321
ENSP00000414688	81321
ENSP00000373017	48726,_gap_
ENSP00000373126	48726,_gap_
ENSP00000389221	48726,_gap_
ENSP00000401609	48726,_gap_
ENSP00000404537	48726,_gap_
ENSP00000414489	48726,_gap_
ENSP00000259891	48726,_gap_
ENSP00000390632	48726,_gap_
ENSP00000391898	48726,_gap_
ENSP00000395005	48726,_gap_
ENSP00000397101	48726,_gap_
ENSP00000398394	48726,_gap_
ENSP00000373013	_gap_
ENSP00000383526	_gap_
ENSP00000394873	_gap_
ENSP00000410268	_gap_
ENSP00000410699	_gap_
ENSP00000413364	_gap_
ENSP00000394156	48726,_gap_
ENSP00000395304	48726,_gap_
ENSP00000396344	48726,_gap_
ENSP00000400564	48726,_gap_
ENSP00000402363	48726,_gap_
ENSP00000404362	48726,_gap_
ENSP00000352534	48726,_gap_
ENSP00000383512	48726,_gap_
ENSP00000390682	48726,_gap_
ENSP00000391516	48726,_gap_
ENSP00000398197	48726,_gap_
ENSP00000409534	48726,_gap_
ENSP00000373127	48726,_gap_
ENSP00000383510	48726,_gap_
ENSP00000402139	48726,_gap_
ENSP00000403058	48726,_gap_
ENSP00000404957	48726,_gap_
ENSP00000411489	48726,_gap_
ENSP00000390469	48726,_gap_
ENSP00000403380	48726,_gap_
ENSP00000404149	48726,_gap_
ENSP00000404245	48726,_gap_
ENSP00000414146	48726,_gap_
ENSP00000414862	48726,_gap_
ENSP00000383528	48726,_gap_
ENSP00000397723	48726,_gap_
ENSP00000397837	48726,_gap_
ENSP00000399240	48726,_gap_
ENSP00000413370	48726,_gap_
ENSP00000415883	48726,_gap_
ENSP00000383525	48726,_gap_
ENSP00000392661	48726,_gap_
ENSP00000401457	48726,_gap_
ENSP00000403235	48726,_gap_
ENSP00000407143	48726,_gap_
ENSP00000408039	48726,_gap_
ENSP00000366080	109640,_gap_,57667,57667,_gap_,57667,57667,_gap_
ENSP00000373124	109640,_gap_,57667,57667,_gap_,57667,57667,_gap_
ENSP00000394222	109640,_gap_,57667,57667,_gap_,57667,57667,_gap_
ENSP00000396462	109640,_gap_,57667,57667,_gap_,57667,57667,_gap_
ENSP00000398086	109640,_gap_,57667,57667,_gap_,57667,57667,_gap_
ENSP00000409118	109640,_gap_,57667,57667,_gap_,57667,57667,_gap_
ENSP00000412932	109640,_gap_,57667,57667,_gap_,57667,57667,_gap_
ENSP00000366078	109640,57667,57667,_gap_,57667,57667,_gap_
ENSP00000446541	109640,57667,57667,_gap_,57667,57667,_gap_
ENSP00000447492	109640,57667,57667,_gap_,57667,57667,_gap_
ENSP00000447698	109640,57667,57667,_gap_,57667,57667,_gap_
ENSP00000448634	109640,57667,57667,_gap_,57667,57667,_gap_
ENSP00000449556	109640,57667,57667,_gap_,57667,57667,_gap_
ENSP00000450397	109640,57667,57667,_gap_,57667,57667,_gap_
ENSP00000345828	54452,48726,_gap_
ENSP00000373121	54452,48726,_gap_
ENSP00000395853	54452,48726,_gap_
ENSP00000402853	54452,48726,_gap_
ENSP00000408540	54452,48726,_gap_
ENSP00000447228	54452,48726,_gap_
ENSP00000447401	54452,48726,_gap_
ENSP00000448260	54452,48726,_gap_
ENSP00000450119	54452,48726,_gap_
ENSP00000450300	54452,48726,_gap_
ENSP00000388133	54452
ENSP00000389555	54452
ENSP00000389590	54452
ENSP00000396776	54452
ENSP00000405190	54452
ENSP00000407836	54452
ENSP00000409934	54452
ENSP00000373008	54452,48726,_gap_
ENSP00000373123	54452,48726,_gap_
ENSP00000387786	54452,48726,_gap_
ENSP00000414905	54452,48726,_gap_
ENSP00000351977	54452,_gap_
ENSP00000366044	54452,_gap_
ENSP00000373007	54452,_gap_
ENSP00000393535	54452,_gap_
ENSP00000397376	54452,_gap_
ENSP00000399835	54452,_gap_
ENSP00000398913	54452,48726,_gap_
ENSP00000400112	54452,48726,_gap_
ENSP00000415401	54452,48726,_gap_
ENSP00000392251	_gap_
ENSP00000399043	_gap_
ENSP00000404395	_gap_
ENSP00000412140	_gap_
ENSP00000415017	_gap_
ENSP00000397705	54452,48726,_gap_
ENSP00000390887	54452,48726,_gap_
ENSP00000414500	54452,48726,_gap_
ENSP00000399120	_gap_
ENSP00000366024	54452,48726
ENSP00000383506	54452,48726
ENSP00000383521	54452,48726
ENSP00000387624	54452,48726
ENSP00000392347	54452,48726
ENSP00000397331	54452,48726
ENSP00000409132	54452,48726
ENSP00000353472	54452,48726
ENSP00000373116	54452,48726
ENSP00000388176	54452,48726
ENSP00000389522	54452,48726
ENSP00000398200	54452,48726
ENSP00000405238	54452,48726
ENSP00000408773	54452,48726
ENSP00000412927	54452,48726
ENSP00000447762	54452,48726
ENSP00000447780	54452,48726
ENSP00000448085	54452,48726
ENSP00000448363	54452,48726
ENSP00000449291	54452,48726
ENSP00000449903	54452,48726
ENSP00000366014	54452,_gap_
ENSP00000373118	54452,_gap_
ENSP00000390678	54452,_gap_
ENSP00000392075	54452,_gap_
ENSP00000396594	54452,_gap_
ENSP00000397733	54452,_gap_
ENSP00000408461	54452,_gap_
ENSP00000415905	54452,_gap_
ENSP00000432220	54452,_gap_
ENSP00000432239	54452,_gap_
ENSP00000433426	54452,_gap_
ENSP00000434622	54452,_gap_
ENSP00000436375	54452,_gap_
ENSP00000437036	54452,_gap_
ENSP00000366011	54452
ENSP00000373117	54452
ENSP00000389969	54452
ENSP00000401326	54452
ENSP00000410247	54452
ENSP00000413926	54452
ENSP00000416408	54452
ENSP00000479399	54452
ENSP00000408986	54452,48726,_gap_
ENSP00000450169	54452,48726,_gap_
ENSP00000391738	54452,48726
ENSP00000410645	54452,48726,_gap_
ENSP00000448992	54452,48726,_gap_
ENSP00000394582	54452,48726
ENSP00000480039	54452,48726
ENSP00000396425	49899
ENSP00000398020	49899
ENSP00000400058	49899
ENSP00000401490	49899
ENSP00000366233	_gap_,57535,57535,53822,_gap_
ENSP00000373034	_gap_,57535,57535,53822,_gap_
ENSP00000373134	_gap_,57535,57535,53822,_gap_
ENSP00000388035	_gap_,57535,57535,53822,_gap_
ENSP00000406066	_gap_,57535,57535,53822,_gap_
ENSP00000411286	_gap_,57535,57535,53822,_gap_
ENSP00000448999	_gap_,57535,57535,53822,_gap_
ENSP00000366215	_gap_,57535,53822,_gap_
ENSP00000373033	_gap_,57535,53822,_gap_
ENSP00000373133	_gap_,57535,53822,_gap_
ENSP00000399318	_gap_,57535,53822,_gap_
ENSP00000399861	_gap_,57535,53822,_gap_
ENSP00000412167	_gap_,57535,53822,_gap_
ENSP00000449727	_gap_,57535,53822,_gap_
ENSP00000366176	_gap_,57535,57535,53822
ENSP00000419061	_gap_,57535,57535,53822
ENSP00000446983	_gap_,57535,57535,53822
ENSP00000448531	_gap_,57535,57535,53822
ENSP00000448654	_gap_,57535,57535,53822
ENSP00000449342	_gap_,57535,57535,53822
ENSP00000449449	_gap_,57535,57535,53822
ENSP00000331111	_gap_,57783
ENSP00000352333	_gap_,57783
ENSP00000365978	_gap_,57783
ENSP00000365981	_gap_,57783
ENSP00000373108	_gap_,57783
ENSP00000383500	_gap_,57783
ENSP00000383501	_gap_,57783
ENSP00000383503	_gap_,57783
ENSP00000387914	_gap_,57783
ENSP00000391809	_gap_,57783
ENSP00000393236	_gap_,57783
ENSP00000394779	_gap_,57783
ENSP00000395065	_gap_,57783
ENSP00000395397	_gap_,57783
ENSP00000396661	_gap_,57783
ENSP00000396922	_gap_,57783
ENSP00000397636	_gap_,57783
ENSP00000399302	_gap_,57783
ENSP00000399966	_gap_,57783
ENSP00000402198	_gap_,57783
ENSP00000405264	_gap_,57783
ENSP00000405636	_gap_,57783
ENSP00000407364	_gap_,57783
ENSP00000407715	_gap_,57783
ENSP00000410127	_gap_,57783
ENSP00000410530	_gap_,57783
ENSP00000410954	_gap_,57783
ENSP00000412369	_gap_,57783
ENSP00000413265	_gap_,57783
ENSP00000414110	_gap_,57783
ENSP00000414720	_gap_,57783
ENSP00000416599	_gap_,57783
ENSP00000366146	81321
ENSP00000373136	81321
ENSP00000410227	81321
ENSP00000365949	_gap_
ENSP00000365954	_gap_
ENSP00000365956	_gap_
ENSP00000365960	_gap_
ENSP00000365964	_gap_
ENSP00000383495	_gap_
ENSP00000383496	_gap_
ENSP00000383497	_gap_
ENSP00000383498	_gap_
ENSP00000383499	_gap_
ENSP00000388044	_gap_
ENSP00000390548	_gap_
ENSP00000390917	_gap_
ENSP00000391581	_gap_
ENSP00000392044	_gap_
ENSP00000392260	_gap_
ENSP00000396522	_gap_
ENSP00000397132	_gap_
ENSP00000398205	_gap_
ENSP00000399167	_gap_
ENSP00000399222	_gap_
ENSP00000399723	_gap_
ENSP00000399965	_gap_
ENSP00000400589	_gap_
ENSP00000400763	_gap_
ENSP00000401267	_gap_
ENSP00000403611	_gap_
ENSP00000404779	_gap_
ENSP00000404824	_gap_
ENSP00000406410	_gap_
ENSP00000406648	_gap_
ENSP00000408173	_gap_
ENSP00000409066	_gap_
ENSP00000410429	_gap_
ENSP00000411693	_gap_
ENSP00000411976	_gap_
ENSP00000412526	_gap_
ENSP00000414471	_gap_
ENSP00000415651	_gap_
ENSP00000416038	_gap_
ENSP00000365963	_gap_
ENSP00000373107	_gap_
ENSP00000394056	_gap_
ENSP00000403557	_gap_
ENSP00000407981	_gap_
ENSP00000411038	_gap_
ENSP00000412297	_gap_
ENSP00000414808	_gap_
ENSP00000387930	_gap_,57850,49899
ENSP00000365942	_gap_,57850,49899
ENSP00000391822	_gap_,57850,49899
ENSP00000392508	_gap_,57850,49899
ENSP00000401131	_gap_,57850,49899
ENSP00000405340	_gap_,57850,49899
ENSP00000415281	_gap_,57850,49899
ENSP00000365924	57850,57845,_gap_
ENSP00000391685	57850,57845,_gap_
ENSP00000398677	57850,57845,_gap_
ENSP00000409501	57850,57845,_gap_
ENSP00000414258	57850,57845,_gap_
ENSP00000414769	57850,57845,_gap_
ENSP00000479007	57850,57845,_gap_
ENSP00000480009	57850,57845,_gap_
ENSP00000394748	57850,57845,_gap_
ENSP00000415169	57850,57845,_gap_
ENSP00000259941	57850,57845,_gap_,49899
ENSP00000365894	57850,57845,_gap_,49899
ENSP00000393576	57850,57845,_gap_,49899
ENSP00000393787	57850,57845,_gap_,49899
ENSP00000393976	57850,57845,_gap_,49899
ENSP00000398404	57850,57845,_gap_,49899
ENSP00000405578	57850,57845,_gap_,49899
ENSP00000412370	57850,57845,_gap_,49899
ENSP00000343695	57850,57845,_gap_,49899
ENSP00000390497	57850,57845,_gap_,49899
ENSP00000391445	57850,57845,_gap_,49899
ENSP00000395598	57850,57845,_gap_,49899
ENSP00000397073	57850,57845,_gap_,49899
ENSP00000397440	57850,57845,_gap_,49899
ENSP00000399446	57850,57845,_gap_,49899
ENSP00000410849	57850,57845,_gap_,49899
ENSP00000309431	52490,55307
ENSP00000398224	57850,57845,_gap_,49899
ENSP00000409605	57850,57845,_gap_,49899
ENSP00000389858	_gap_
ENSP00000391673	_gap_
ENSP00000392768	_gap_
ENSP00000398285	_gap_
ENSP00000400174	_gap_
ENSP00000402326	_gap_
ENSP00000403836	_gap_
ENSP00000412755	_gap_
ENSP00000464447	54236,54001,_gap_
ENSP00000261601	54236,54001,_gap_
ENSP00000331131	57850,57845,_gap_,49899,49899
ENSP00000373102	57850,57845,_gap_,49899,49899
ENSP00000379806	57850,57845,_gap_,49899,49899
ENSP00000389203	57850,57845,_gap_,49899,49899
ENSP00000390258	57850,57845,_gap_,49899,49899
ENSP00000391879	57850,57845,_gap_,49899,49899
ENSP00000392805	57850,57845,_gap_,49899,49899
ENSP00000393011	57850,57845,_gap_,49899,49899
ENSP00000394371	57850,57845,_gap_,49899,49899
ENSP00000394421	57850,57845,_gap_,49899,49899
ENSP00000395491	57850,57845,_gap_,49899,49899
ENSP00000396188	57850,57845,_gap_,49899,49899
ENSP00000398545	57850,57845,_gap_,49899,49899
ENSP00000402395	57850,57845,_gap_,49899,49899
ENSP00000406707	57850,57845,_gap_,49899,49899
ENSP00000407294	57850,57845,_gap_,49899,49899
ENSP00000407876	57850,57845,_gap_,49899,49899
ENSP00000408233	57850,57845,_gap_,49899,49899
ENSP00000409182	57850,57845,_gap_,49899,49899
ENSP00000410446	57850,57845,_gap_,49899,49899
ENSP00000414248	57850,57845,_gap_,49899,49899
ENSP00000415328	57850,57845,_gap_,49899,49899
ENSP00000415755	57850,57845,_gap_,49899,49899
ENSP00000416737	57850,57845,_gap_,49899,49899
ENSP00000389386	57850,57845,_gap_
ENSP00000390908	57850,57845,_gap_
ENSP00000391602	57850,57845,_gap_
ENSP00000395820	57850,57845,_gap_
ENSP00000397048	57850,57845,_gap_
ENSP00000402135	57850,57845,_gap_
ENSP00000412838	57850,57845,_gap_
ENSP00000413673	57850,57845,_gap_
ENSP00000393753	57850,_gap_
ENSP00000400655	57850,_gap_
ENSP00000402684	57850,_gap_
ENSP00000403395	57850,_gap_
ENSP00000405791	57850,_gap_
ENSP00000416276	57850,_gap_
ENSP00000387530	57850,57845
ENSP00000391031	57850,57845
ENSP00000402990	57850,57845
ENSP00000405710	57850,57845
ENSP00000407035	57850,57845
ENSP00000412165	57850,57845
ENSP00000412641	57850,57845
ENSP00000416664	57850,57845
ENSP00000388005	57850,57845
ENSP00000393827	57850,57845
ENSP00000396089	57850,57845
ENSP00000400920	57850,57845
ENSP00000403765	57850,57845
ENSP00000403887	57850,57845
ENSP00000405526	57850,57845
ENSP00000405923	57850,57845
ENSP00000261600	_gap_,47986
ENSP00000394599	57850,57845
ENSP00000400243	57850,57845
ENSP00000405928	57850,57845
ENSP00000406034	57850,57845
ENSP00000406984	57850,57845
ENSP00000411500	57850,57845
ENSP00000415671	57850,57845
ENSP00000389675	57850
ENSP00000394768	57850
ENSP00000395224	57850
ENSP00000399106	57850
ENSP00000401123	57850
ENSP00000401848	57850
ENSP00000406918	57850
ENSP00000365847	57850,57845,_gap_,49899
ENSP00000373095	57850,57845,_gap_,49899
ENSP00000373097	57850,57845,_gap_,49899
ENSP00000379797	57850,57845,_gap_,49899
ENSP00000379800	57850,57845,_gap_,49899
ENSP00000383486	57850,57845,_gap_,49899
ENSP00000387445	57850,57845,_gap_,49899
ENSP00000389198	57850,57845,_gap_,49899
ENSP00000389852	57850,57845,_gap_,49899
ENSP00000392130	57850,57845,_gap_,49899
ENSP00000394353	57850,57845,_gap_,49899
