Genome	Architecture
gx	109640,57667,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667
gx	_gap_,49313,49313,49313,49313,_gap_
gx	50630
gx	50630
gx	_gap_,54928,_gap_
gx	_gap_,50249,_gap_,52540,_gap_
gx	_gap_,46785
gx	_gap_,49313,49313,49313,49313,49313,_gap_
gx	48726,48726,_gap_
gx	55486,49854,49854,57196,49854,57196,49854,49854
gx	103506
gx	_gap_,47473,50998,50978,_gap_
gx	_gap_,46565,_gap_
gx	57850,_gap_,50044,50044,_gap_,50044,_gap_,50044
gx	_gap_,56796
gx	100895
gx	_gap_,57850,50978
gx	_gap_,48452,_gap_
gx	49899,49899,56496,49899,49899
gx	48670
gx	_gap_,46689,_gap_
gx	57535,57535,57535,57535,_gap_
gx	48452,48452,48452
gx	_gap_,57850,_gap_
gx	48403,54695,_gap_,54695,_gap_
gx	53474
gx	56645,47203
gx	49313,49313,49313,49313,49313,49313,_gap_
gx	52058,_gap_
gx	50729,49562,48350,_gap_
gx	50729,49562,48350,_gap_
gx	_gap_,49562
gx	56112,_gap_
gx	56235
gx	_gap_,47095,_gap_
gx	51338,51556,51338,_gap_
gx	81321
gx	_gap_,56574
gx	_gap_,56436
gx	56491,89811,_gap_,57362,109843,_gap_
gx	_gap_,57567,57603,_gap_,57567,57567,57603,_gap_
gx	52402,_gap_
gx	51905,54373,_gap_
gx	_gap_,49313,49313,49313,49313,49313,49313,49313,49313,49313,_gap_,57184,49899,49899,57196,57196,_gap_,57196,_gap_
gx	50729,50729,_gap_
gx	47986,52129
gx	_gap_,140864,_gap_,52540,_gap_,50978,50978,50978,_gap_
gx	56112,_gap_
gx	47473
gx	_gap_,51045,_gap_
gx	63712,90112
gx	52058,_gap_
gx	_gap_,46785,_gap_,144292
gx	103506
gx	52025,57850,_gap_
gx	47986,_gap_,56112,_gap_
gx	_gap_,54171,_gap_
gx	52821,52799,_gap_
gx	_gap_,57501
gx	53474
gx	_gap_,47413,46689
gx	_gap_,50978
gx	_gap_,54695,_gap_,81324,_gap_
gx	_gap_,51230
gx	56436,_gap_
gx	50891,_gap_
gx	56574
gx	56300
gx	48452,82199,144232,_gap_
gx	_gap_,50405,_gap_
gx	_gap_,54695,_gap_
gx	51338,51556,51338,_gap_
gx	52540
gx	_gap_,56112
gx	54236
gx	_gap_,56436
gx	_gap_,50978
gx	_gap_,47986
gx	_gap_,52540,_gap_
gx	118215
gx	63748,57903,57903,_gap_
gx	_gap_,54913
gx	53448,_gap_
gx	81321
gx	56019,_gap_
gx	52096,52096,52096,52096
gx	_gap_,52540,_gap_
gx	_gap_,48403,_gap_
gx	56574
gx	_gap_,52540,_gap_
gx	_gap_,57667,57667,_gap_,46689,_gap_
gx	49899,49899
gx	_gap_,57196,_gap_
gx	_gap_,55804,_gap_
gx	_gap_,48371,_gap_
gx	_gap_,48403,48403,_gap_,48403,_gap_,54791,_gap_
gx	_gap_,48726,_gap_
gx	_gap_,50978
gx	52540
gx	_gap_,57850
gx	50156,50156,50156,_gap_,50156,50156,50156,_gap_,50156,_gap_
gx	_gap_,57535,_gap_
gx	55486,48726
gx	_gap_,56112,_gap_
gx	_gap_,111331
gx	48464,_gap_,50044,_gap_
gx	48317
gx	50729,57889,57889,_gap_,111331,_gap_,47769
gx	_gap_,48403,_gap_,158235
gx	_gap_,52540,_gap_
gx	_gap_,52540,52540
gx	_gap_,57501
gx	54695,_gap_,57667,_gap_,57667,57667,57667
gx	50916,50916,_gap_,46785
gx	50729,55550
gx	_gap_,48371,117839,_gap_,56204
gx	50249,55681,55261,_gap_
gx	54695,_gap_,57667,57667,_gap_
gx	54791,_gap_,54791
gx	_gap_,52540,_gap_
gx	48726,48726,48726,48726,48726,48726,49265,49899
gx	_gap_,49842
gx	_gap_,56784
gx	_gap_,56059
gx	_gap_,56059
gx	54189,_gap_
gx	48726,48726,_gap_
gx	_gap_,109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667
gx	_gap_,56300
gx	103506
gx	48371,_gap_
gx	_gap_,49562,_gap_,49562,_gap_
gx	47473
gx	53474
gx	48726
gx	53822,_gap_,53850,_gap_
gx	_gap_,56112,_gap_,57889,50729,_gap_
gx	52540,_gap_,47473
gx	_gap_,52540,_gap_
gx	_gap_,81324,_gap_,81324,_gap_,81324,_gap_,81324,_gap_
gx	48371
gx	46689,46689,_gap_
gx	57501
gx	57716,57716,57716,57716
gx	52540
gx	_gap_,49265,_gap_
gx	49854,_gap_,57535,49854,57535,49854,57535,49854,57535,49854,57535,49854,57535,49854,57535,49854,57535,49854,57535,49854,57535,49854,57535,49854,57535,49854,57535,57535,57535,57535,57535,57535,57535,57535,57535,57535,57535,57535,57535,57535,57535,_gap_
gx	_gap_,50978
gx	49562,_gap_,52151
gx	48452,_gap_
gx	49503,_gap_
gx	49562,_gap_,52151
gx	53822,_gap_
gx	_gap_,48403,_gap_,47769
gx	53822,53850
gx	49265,49265,_gap_
gx	161070
gx	_gap_,54511,57184,57610,63825,57196
gx	161070
gx	_gap_,47769,46785
gx	46934,_gap_
gx	_gap_,47576,_gap_,50346
gx	_gap_,46785,_gap_
gx	_gap_,53335
gx	54236,_gap_,46934,_gap_,46934,_gap_
gx	48403,56112
gx	54695,_gap_
gx	54928,_gap_
gx	53474
gx	_gap_,57903,47473,_gap_
gx	_gap_,54897,52743
gx	46565,_gap_,49493,49493
gx	56281
gx	49313,49313,49313,49313,49313,49313,49313,49313,49313,49313,49313,49313,49313,49313,49313,49313,49313,49313,49313,49313,49313,49313,49313,49313,49313,49313,49313,_gap_
gx	_gap_,53474,_gap_
gx	49562,49562,49562,_gap_,49562,_gap_,49562,_gap_,49562,_gap_,49562,_gap_
gx	57850,_gap_,57845,_gap_,75011
gx	_gap_,57630,57196,50494
gx	_gap_,48576
gx	109640
gx	_gap_,57903,_gap_
gx	50729,57889,57889,_gap_,111331,_gap_,47769
gx	48371,48371
gx	74788,75632,46785
gx	_gap_,144091,_gap_
gx	_gap_,90123,52540,90123,52540
gx	_gap_,117773,_gap_,117773,117773,_gap_,117773,_gap_
gx	109640,_gap_,57667,57667,57667,57667,_gap_
gx	_gap_,57196,57196,57196,57196,_gap_
gx	_gap_,57184,_gap_
gx	_gap_,52540
gx	90229,90229,_gap_,57850,_gap_
gx	54695,_gap_,57667,57667,57667,57667,_gap_
gx	52129
gx	49899,_gap_
gx	48726,48726,48726
gx	50104
gx	_gap_,48295,_gap_
gx	_gap_,57667,57667,57667,57667,57667
gx	_gap_,63501,_gap_
gx	48464,89009,_gap_
gx	_gap_,57716,57716,57716,57716,57716,_gap_,47050
gx	56112,_gap_
gx	56968,48431,_gap_
gx	51197,_gap_
gx	53756
gx	_gap_,103473
gx	47986,52540,_gap_,52047,_gap_
gx	_gap_,47459,_gap_
gx	_gap_,47769,_gap_,46785,_gap_
gx	_gap_,53738,53738,53738,55957
gx	_gap_,55315,_gap_
gx	54495,_gap_
gx	101912,103575,48726,_gap_
gx	_gap_,64593,_gap_,64593,_gap_
gx	_gap_,48264
gx	_gap_,51735
gx	48371,_gap_,49348,55711
gx	64268,_gap_
gx	_gap_,52540
gx	_gap_,57567,_gap_,57567,57567,_gap_
gx	54928,_gap_
gx	_gap_,52058,52058
gx	_gap_,47661,_gap_
gx	57997
gx	48403,158235
gx	47769,_gap_
gx	_gap_,52490,_gap_
gx	103657,50044
gx	_gap_,47762,47762,_gap_
gx	_gap_,64356
gx	_gap_,90123,52540
gx	48371
gx	48464,89009,_gap_
gx	56112,_gap_
gx	55961,_gap_,56784,_gap_
gx	52058,_gap_
gx	160909
gx	_gap_,47459,_gap_
gx	_gap_,81321
gx	_gap_,55895
gx	46785,_gap_,49879,_gap_
gx	_gap_,56854
gx	54452,48726
gx	_gap_,53335
gx	_gap_,53335
gx	_gap_,56436
gx	51197,_gap_,63748,63748,_gap_
gx	81324,51735,_gap_
gx	81321,_gap_
gx	46966,46966,_gap_,46966,46966,_gap_,46966,46966,46966,50044,46966,_gap_,46966,46966,_gap_,46966,46966,46966,46966,46966,46966,47473
gx	100950
gx	_gap_,160481,52540,52540,_gap_,47370,_gap_
gx	48371
gx	_gap_,47895,52540
gx	_gap_,52540,_gap_
gx	_gap_,46689,_gap_
gx	_gap_,52540,_gap_
gx	_gap_,48264
gx	_gap_,52091,_gap_
gx	_gap_,57959,_gap_
gx	_gap_,52091
gx	_gap_,48350,_gap_
gx	50998,_gap_
gx	_gap_,56219,_gap_
gx	160369
gx	_gap_,57850
gx	53474
gx	48403,48403,158235
gx	_gap_,57716,_gap_,48508
gx	110857,_gap_
gx	_gap_,46934,_gap_,56112,_gap_
gx	49265,49265,_gap_
gx	_gap_,50911,_gap_,50911,_gap_
gx	_gap_,53448,50370
gx	_gap_,63748,63748,63748,_gap_,47769
gx	47769,_gap_
gx	56436
gx	_gap_,53448
gx	81324,81296,_gap_
gx	_gap_,56059,_gap_
gx	82185
gx	_gap_,47473,47473,_gap_
gx	_gap_,50729,49562,48350,_gap_
gx	57850,_gap_
gx	_gap_,49562
gx	_gap_,55846,_gap_
gx	_gap_,53474
gx	_gap_,51735,_gap_
gx	56112
gx	57850,49899
gx	_gap_,52540,_gap_,90257,90257,_gap_,90257,_gap_,90257,57997,_gap_
gx	48371
gx	54117,_gap_
gx	48403,_gap_
gx	_gap_,50978,_gap_
gx	_gap_,57903,82199,_gap_
gx	_gap_,55785,_gap_
gx	_gap_,52799,_gap_
gx	_gap_,81321,_gap_
gx	50978
gx	50692,_gap_,52540,52540
gx	53474
gx	53474,49723
gx	_gap_,54791,54791,_gap_,57850
gx	52499
gx	46934,_gap_,50044,53254
gx	_gap_,46689,_gap_
gx	161084
gx	_gap_,46774,_gap_
gx	_gap_,143437,53335,53335
gx	50978,_gap_
gx	_gap_,52833
gx	109640,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667
gx	_gap_,55469
gx	_gap_,102848,_gap_,54236
gx	48092,47655,49417,55550,_gap_
gx	82671,_gap_,57424,49854,49899,49854,57424,56487,50494
gx	81321
gx	52540
gx	52540
gx	48371
gx	_gap_,48726
gx	_gap_,57630,57196,50494
gx	_gap_,81321,_gap_
gx	52540,_gap_
gx	55979,_gap_
gx	_gap_,49503,49503,49503,49503,49503,49503
gx	52540,_gap_
gx	81321,_gap_
gx	_gap_,52091
gx	109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667
gx	48726
gx	54928,_gap_,54928,_gap_
gx	_gap_,52540,_gap_
gx	52833,47616
gx	109640,_gap_,57667,57667,57667,57667,57667,_gap_
gx	81321
gx	50104,_gap_
gx	_gap_,55486,_gap_,55486,_gap_
gx	_gap_,81606,_gap_
gx	109640,_gap_,57667,57667,57667,57667,57667,57667,57667
gx	54747,46906
gx	_gap_,52047,52047,_gap_
gx	52058,_gap_,47769,57850
gx	_gap_,50729,_gap_
gx	_gap_,50044,55550,56112
gx	_gap_,50978,_gap_
gx	_gap_,117839,56399
gx	53137,55315
gx	_gap_,48371,_gap_,48371
gx	109640,_gap_,57667,57667,57667,57667,57667,_gap_
gx	_gap_,54928,54928,_gap_,54928,54928
gx	_gap_,57667,_gap_,57667,57667,_gap_,57667,_gap_,57667,_gap_
gx	49313,49313,49313,49313,49313,49313,_gap_
gx	58113,_gap_
gx	_gap_,54695,_gap_,81324,_gap_
gx	_gap_,48065,50729,_gap_
gx	81324,81296,_gap_
gx	_gap_,56112
gx	_gap_,55073,_gap_,55073,_gap_
gx	_gap_,81321
gx	_gap_,46934,46934
gx	_gap_,47769,_gap_
gx	47769,_gap_,52540,_gap_
gx	_gap_,57850
gx	_gap_,117281,101898
gx	89837,89837,_gap_
gx	_gap_,53067,53067,_gap_
gx	_gap_,56574
gx	_gap_,81321,_gap_
gx	_gap_,46565,_gap_
gx	50985,_gap_
gx	160696,_gap_
gx	_gap_,47353,_gap_,57667,57667,57667
gx	_gap_,47353,_gap_,109640,_gap_,57667,57667,57667,57667
gx	49879,_gap_
gx	_gap_,57850,_gap_
gx	51197
gx	_gap_,53335,_gap_
gx	54452,48726,_gap_
gx	48726
gx	_gap_,56024,56024
gx	_gap_,69318
gx	48452
gx	_gap_,51430
gx	_gap_,57903,_gap_,54160,54160,52540,52540,_gap_
gx	57850,_gap_
gx	109640,_gap_
gx	56112,48371
gx	_gap_,57667,57667,57667,_gap_
gx	_gap_,57196,_gap_,57581,57196,57581,_gap_,57184,57184,57184,57581,57184,57581,57196
gx	_gap_,49265
gx	48371
gx	81321
gx	_gap_,69318,69179,69179,69179,_gap_
gx	144091,_gap_
gx	_gap_,51735,52540
gx	_gap_,56436,56436
gx	49879,_gap_,52113,_gap_
gx	_gap_,56112
gx	109640,_gap_,57667,57667,57667,57667,57667,57667,57667
gx	47661,58038,_gap_
gx	_gap_,54791,_gap_
gx	48371
gx	46785,_gap_
gx	_gap_,101912,103575,_gap_,81296,81296,81296,_gap_,48350
gx	_gap_,52540,_gap_,48403,48452,_gap_
gx	_gap_,54001
gx	56112,52799,49562,_gap_,46565
gx	48726,48726,48726,_gap_
gx	47473,47473
gx	_gap_,47459,_gap_
gx	_gap_,57903
gx	_gap_,55486,57552,_gap_
gx	_gap_,50978
gx	_gap_,64153
gx	50182
gx	53955
gx	49854,117281,_gap_,57196,_gap_,57196,57196,_gap_,117281,117281,_gap_
gx	50729,47473,51695,49562,_gap_,69989
gx	_gap_,53474,_gap_
gx	_gap_,82866,_gap_,82866,_gap_
gx	_gap_,48726,_gap_
gx	_gap_,47459
gx	52490,55307
gx	52833
gx	_gap_,50044,55550,56112
gx	_gap_,57889,_gap_,48065,50729,_gap_
gx	50494
gx	50494
gx	50494
gx	_gap_,51045,_gap_,54768,54768,_gap_
gx	_gap_,54928,_gap_,53335,_gap_
gx	50978,50952
gx	50729,_gap_
gx	_gap_,82866,_gap_,82866,_gap_
gx	50630
gx	56854
gx	63712,90112
gx	_gap_,111347,_gap_,50156,_gap_
gx	47473
gx	_gap_,50978
gx	_gap_,57302,_gap_
gx	51045,51045,50998,50729,48350
gx	48726,48726,49265,_gap_,56112,_gap_
gx	52058,_gap_
gx	_gap_,100895,47473
gx	52540
gx	52540
gx	64593,90257,_gap_,64593,74853,_gap_
gx	_gap_,52540,_gap_,63748,_gap_
gx	101912,103575,_gap_
gx	_gap_,57889,_gap_,56112
gx	_gap_,55486,82895,_gap_,82895,82895,82895,_gap_
gx	49899,49899
gx	48201
gx	_gap_,56512,52218,63380,_gap_,52343
gx	46565,_gap_
gx	_gap_,64602
gx	_gap_,56219,_gap_,48350
gx	48264,_gap_
gx	_gap_,117839,56399
gx	_gap_,52821
gx	52058,50952
gx	_gap_,51197,_gap_
gx	48726,49265,49265,_gap_
gx	50630
gx	_gap_,54695,_gap_,81324,_gap_
gx	_gap_,46966,_gap_
gx	53383
gx	81321
gx	101912,103575,_gap_,103575,81296,81296,81296,81296,_gap_,48350
gx	_gap_,57667,57667,57667,57667
gx	144091,_gap_
gx	56436,_gap_
gx	55846,55846
gx	53067,53067
gx	_gap_,55846,55846
gx	47473
gx	53474
gx	52540
gx	_gap_,47413,46689,_gap_
gx	_gap_,68906
gx	_gap_,54928,_gap_
gx	_gap_,57501
gx	52540,_gap_,49879,_gap_,74924
gx	_gap_,81321
gx	_gap_,50044
gx	81321,_gap_
gx	53335
gx	_gap_,48371,_gap_
gx	54236,54236,54236
gx	81321
gx	_gap_,48371
gx	_gap_,57850
gx	51197,46966,_gap_
gx	_gap_,48726,_gap_,56112,_gap_
gx	48403,74924,74924
gx	_gap_,52833
gx	81321
gx	52799,49562,_gap_
gx	_gap_,48371,_gap_
gx	_gap_,50447,_gap_
gx	_gap_,50978
gx	56300,55816
gx	53720
gx	_gap_,50978,_gap_
gx	55136
gx	_gap_,81321
gx	_gap_,57850,_gap_
gx	_gap_,57501
gx	52833,52833,52833
gx	_gap_,103473
gx	81321
gx	_gap_,81324,_gap_,81324,_gap_,81324,_gap_,81324,_gap_
gx	_gap_,46785,46785
gx	_gap_,57501
gx	_gap_,57567,_gap_,57567,_gap_,57567,_gap_,57567,_gap_,57567,_gap_,57567,_gap_,57567,_gap_,57567,_gap_,57567,_gap_,57567,_gap_
gx	81321
gx	_gap_,52540
gx	_gap_,57424,57424,_gap_
gx	50494
gx	_gap_,48403
gx	53067,53067
gx	47676,46942
gx	55021,56534
gx	_gap_,117289,_gap_
gx	_gap_,63491
gx	55811
gx	56436,57196,57535,57535,57535,57535,57535,57535,57535,57535,57535,_gap_
gx	_gap_,53335
gx	_gap_,54791,_gap_
gx	_gap_,52075,_gap_
gx	_gap_,50978,_gap_
gx	_gap_,53623,53244,_gap_
gx	54768,_gap_
gx	109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667
gx	52540
gx	_gap_,47370,_gap_,82199
gx	48452
gx	48726,_gap_
gx	109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667
gx	47266
gx	_gap_,52058,_gap_
gx	54236,47031,50729,_gap_,52799
gx	52218,_gap_,63380,_gap_,52343
gx	_gap_,57667,57667,57667,57667
gx	_gap_,56112,_gap_,103243
gx	52540
gx	47045,47045,47045
gx	64005,_gap_
gx	_gap_,52540,52540
gx	54695,_gap_,81324,_gap_
gx	56574
gx	_gap_,48065,50729,50044
gx	52768
gx	_gap_,109715,52799,_gap_
gx	53067,_gap_,53067,_gap_
gx	_gap_,90188,90188,53649
gx	50729,57997
gx	47986,_gap_,50156,_gap_,52540
gx	52540
gx	50978,_gap_
gx	_gap_,57440
gx	_gap_,81324
gx	_gap_,81324
gx	_gap_,49313,49313,49313,49313,49313,49313,_gap_
gx	_gap_,50729,50729,_gap_
gx	_gap_,50729,50729,_gap_
gx	56235,_gap_
gx	52540
gx	47459,_gap_
gx	_gap_,48371,_gap_
gx	52042
gx	_gap_,58038,_gap_,58038
gx	_gap_,47954,_gap_
gx	_gap_,48425,50729,_gap_
gx	52540,_gap_
gx	52540,_gap_
gx	48452,50044,54277,50044
gx	55486,57552,_gap_
gx	56366,_gap_,49879
gx	56801
gx	54452,_gap_
gx	55797,_gap_
gx	_gap_,50494
gx	49899,_gap_,56436,_gap_,56436
gx	_gap_,57424,57424,57424,57424,57424,57424,57424,57424,57184,63825,_gap_,63825,57196,63825,57196,63825,_gap_
gx	_gap_,50978
gx	48403,_gap_
gx	57850,52540,_gap_
gx	_gap_,55550
gx	_gap_,48371,_gap_
gx	50978
gx	52113,47802,81585,81301
gx	_gap_,68906
gx	_gap_,103473,_gap_
gx	52540,49879,_gap_,55961
gx	_gap_,48371,_gap_,50978,_gap_
gx	50729,_gap_
gx	47266
gx	55120,88697,_gap_
gx	47266
gx	_gap_,50156,50044,52540
gx	_gap_,57501
gx	_gap_,55550
gx	48452,46785
gx	_gap_,55945,55945
gx	_gap_,52540,_gap_,75712,_gap_,52540
gx	56112
gx	_gap_,56112,_gap_
gx	144210
gx	_gap_,57667,57667,57667,57667,57667,57667,57667,_gap_
gx	50978,50978,_gap_,48371,48452,_gap_
gx	_gap_,57850,_gap_,54001,_gap_
gx	_gap_,48097
gx	52540,52540,_gap_,52949
gx	_gap_,54001,_gap_
gx	_gap_,50729,49562,48350,_gap_
gx	_gap_,47473,_gap_,144270
gx	_gap_,48619,_gap_,48619,_gap_
gx	51445,_gap_,49785
gx	48726,48726,48726,48726,48726,48726,_gap_,49265,_gap_,49265,_gap_
gx	48371
gx	_gap_,49265,49265,_gap_
gx	50129,51735,50129
gx	_gap_,54495
gx	81383,_gap_
gx	_gap_,48619
gx	54791,54791,_gap_,57850
gx	53474
gx	50494,_gap_,49854,49854
gx	_gap_,47592,_gap_
gx	48452,_gap_
gx	_gap_,48366
gx	53335
gx	_gap_,47459,_gap_
gx	53927
gx	54686,_gap_
gx	_gap_,57667,57667,_gap_
gx	_gap_,57716,_gap_,48508
gx	_gap_,46689
gx	_gap_,159468
gx	_gap_,52540
gx	53732,52016
gx	_gap_,101447
gx	88798,50249
gx	52949,53187
gx	_gap_,49842
gx	81321,_gap_
gx	_gap_,81653,_gap_,81660,56784,81665
gx	53335
gx	48239
gx	_gap_,50891
gx	_gap_,57501
gx	_gap_,53328,50486
gx	_gap_,52540
gx	_gap_,53955
gx	52047,_gap_
gx	50182
gx	47027,_gap_,101576
gx	117281
gx	55550,50729,_gap_
gx	_gap_,57667,57667,57667,57667,57667,57667,57667,57667
gx	103196
gx	53067,53067
gx	109640,_gap_,57667,57667,57667,57667,57667,57667
gx	109640,_gap_,57667,57667,57667,57667,57667
gx	109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667
gx	_gap_,56112
gx	52025,57850,_gap_
gx	53901,53901,_gap_
gx	_gap_,82919,53300,81995,81811,82754
gx	_gap_,57802
gx	_gap_,47391
gx	57850,_gap_,57845,_gap_,52540
gx	_gap_,90123,52540,90123,52540
gx	_gap_,50978,50998,_gap_
gx	_gap_,56219,_gap_,48350
gx	47676,_gap_,46942,57783
gx	_gap_,49313,49313,49313,49313,_gap_
gx	103657,50729,57863,48403,_gap_
gx	_gap_,53067,53067
gx	57903,_gap_,49562,49562
gx	_gap_,46946,_gap_
gx	_gap_,53474,_gap_
gx	_gap_,48576,_gap_
gx	81321
gx	54001
gx	_gap_,53300,_gap_
gx	_gap_,56112
gx	_gap_,56204,_gap_
gx	109640,_gap_,57667,57667,57667,57667
gx	56574
gx	52540,_gap_
gx	_gap_,46785
gx	53300,_gap_
gx	48452
gx	51735,_gap_
gx	_gap_,63748
gx	_gap_,50952
gx	55298
gx	_gap_,56104
gx	_gap_,81383,52047
gx	49854,69848,49785,_gap_
gx	_gap_,54928,_gap_
gx	50044
gx	_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667
gx	52540
gx	_gap_,49562
gx	50729
gx	81296,54001,49309,49309
gx	52540,_gap_,46579,_gap_,50978
gx	_gap_,53822,_gap_
gx	_gap_,81324,_gap_,81324,_gap_,81324,_gap_,81324,_gap_
gx	51735,55347
gx	_gap_,50978,_gap_,50044,_gap_
gx	_gap_,51230,47005,52777
gx	54001,_gap_
gx	52540
gx	47473
gx	_gap_,55486
gx	_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667,_gap_
gx	49854,57196,49854,57535,57535,50494,_gap_
gx	_gap_,52540,52540
gx	56112,_gap_
gx	_gap_,103637,103637,_gap_,103637,103637,103637,103637,_gap_
gx	_gap_,47454,57959
gx	47769,_gap_,50156,_gap_
gx	_gap_,47454,57959,_gap_
gx	_gap_,57667,_gap_,57667,57667
gx	54452,48726,_gap_
gx	82671,50494
gx	_gap_,68906,_gap_
gx	53187,49464
gx	_gap_,54236,_gap_,49879,_gap_
gx	_gap_,48726,_gap_
gx	_gap_,57667,57667,57667,_gap_
gx	_gap_,50353
gx	82671,50494
gx	_gap_,58038,_gap_
gx	48317
gx	47986,52540,_gap_,52047,_gap_
gx	53098,_gap_
gx	_gap_,52540,_gap_,57850,52540
gx	56112
gx	54928,54928,_gap_
gx	50978,50978,50969,_gap_,50978,_gap_
gx	_gap_,81324,51206,_gap_
gx	_gap_,47323
gx	103473
gx	_gap_,54403
gx	57302
gx	103473
gx	_gap_,63829
gx	48317
gx	_gap_,56801
gx	_gap_,46689,_gap_
gx	49899,_gap_
gx	_gap_,53300,69318,69179,69179,69179,_gap_
gx	_gap_,48726,48726,_gap_
gx	54690
gx	_gap_,144232,_gap_
gx	111418,81321
gx	54747,46906,_gap_
gx	100895
gx	52540,51045,51045,50156,_gap_,50156,_gap_,50156,50156,_gap_,50156
gx	_gap_,49764,_gap_
gx	54236,54236,54236,54236,54236
gx	48726,48726,48726,48726,48726,48726,48726,48726,48726,_gap_
gx	53649
gx	_gap_,56808
gx	50978,_gap_
gx	_gap_,48264
gx	50182
gx	_gap_,140383,_gap_
gx	50193
gx	63748,57903,57903,_gap_
gx	48452,46565
gx	_gap_,57959,_gap_
gx	_gap_,81653,_gap_,81660,56784,81665
gx	_gap_,56112
gx	46785,_gap_
gx	47473
gx	_gap_,47923,47923
gx	56112,_gap_
gx	_gap_,47459,158457,_gap_
gx	81321,_gap_
gx	56235,_gap_,52402
gx	_gap_,81324,81324,_gap_
gx	50978,_gap_
gx	_gap_,57667,57667,_gap_
gx	_gap_,57716,48508
gx	_gap_,158997
gx	_gap_,46689,_gap_
gx	_gap_,52833
gx	_gap_,46689
gx	49417,_gap_
gx	_gap_,46689
gx	_gap_,46689
gx	_gap_,46689
gx	81321
gx	_gap_,46689,_gap_
gx	_gap_,46689,_gap_
gx	_gap_,46689,_gap_
gx	50729,48350,_gap_
gx	_gap_,53098
gx	81321
gx	_gap_,50249,_gap_
gx	50494
gx	47694
gx	_gap_,54236,_gap_,49562,48371,56112,64268,49562
gx	_gap_,47266
gx	57424,57424,57424,57424,57424,57424,57424,57424,57196,57196,63825,57196,_gap_
gx	_gap_,50044,_gap_,50044
gx	54001
gx	_gap_,50729,_gap_,50729
gx	54928,54928,54928,_gap_
gx	54495
gx	48726,_gap_
