id	level	description
PF02389	Pfam	Cornifin (SPRR) family
PF02628	Pfam	Cytochrome oxidase assembly protein
PF02936	Pfam	Cytochrome c oxidase subunit IV
PF03626	Pfam	Prokaryotic Cytochrome C oxidase subunit IV 
PF02937	Pfam	Cytochrome c oxidase subunit VIc
PF02935	Pfam	Cytochrome c oxidase subunit VIIc
PF04516	Pfam	CP2 transcription factor
PF00118	Pfam	TCP-1/cpn60 chaperonin family
PF02787	Pfam	Carbamoyl-phosphate synthetase large chain, oligomerisation domain
PF04969	Pfam	CS domain
PF00988	Pfam	Carbamoyl-phosphate synthase small chain, CPSase domain
PF03178	Pfam	CPSF A subunit region
PF00313	Pfam	'Cold-shock' DNA-binding domain
PF04442	Pfam	Cytochrome c oxidase assembly protein CtaG/Cox11
PF01148	Pfam	Cytidylyltransferase family
PF04145	Pfam	Ctr copper transporter family
PF00394	Pfam	Multicopper oxidase
PF03712	Pfam	Copper type II ascorbate-dependent monooxygenase, C-terminal domain
PF01082	Pfam	Copper type II ascorbate-dependent monooxygenase, N-terminal domain
PF02845	Pfam	CUE domain
PF00190	Pfam	Cupin
PF04889	Pfam	Cwf15/Cwc15 cell cycle control protein
PF04677	Pfam	Protein similar to CwfJ C-terminus 1
PF04676	Pfam	Protein similar to CwfJ C-terminus 2
PF01705	Pfam	CX module
PF04673	Pfam	Polyketide synthesis cyclase
PF00134	Pfam	Cyclin, N-terminal domain
PF02276	Pfam	Photosynthetic reaction centre cytochrome C subunit
PF05038	Pfam	Cytochrome Cytochrome b558 alpha-subunit
PF01820	Pfam	D-ala D-ala ligase N-terminus
PF01113	Pfam	Dihydrodipicolinate reductase, N-terminus
PF01682	Pfam	DB module
PF05011	Pfam	Lariat debranching enzyme, C-terminal domain
PF03107	Pfam	C1 domain
PF00383	Pfam	Cytidine and deoxycytidylate deaminase zinc-binding region
PF05026	Pfam	Dcp2, box A domain
PF03607	Pfam	Doublecortin
PF03455	Pfam	dDENN domain
PF02791	Pfam	DDT domain
PF00270	Pfam	DEAD/DEAH box helicase
PF00531	Pfam	Death domain
PF04626	Pfam	Dec-1 protein, C terminal region
PF02141	Pfam	DENN (AEX-3) domain
PF00610	Pfam	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
PF02272	Pfam	DHHA1 domain
PF04922	Pfam	DIE2/ALG10 family
PF01843	Pfam	DIL domain
PF03018	Pfam	Dirigent-like protein
PF02377	Pfam	Dishevelled specific domain
PF02916	Pfam	DNA polymerase processivity factor
PF01965	Pfam	DJ-1/PfpI family
PF00751	Pfam	DM DNA binding domain
PF01068	Pfam	ATP dependent DNA ligase domain
PF04679	Pfam	ATP dependent DNA ligase C terminal region        
PF04675	Pfam	DNA ligase N terminus
PF00875	Pfam	DNA photolyase
PF00136	Pfam	DNA polymerase family B
PF03104	Pfam	DNA polymerase family B, exonuclease domain
PF04081	Pfam	DNA polymerase delta, subunit 4 
PF00772	Pfam	DnaB-like helicase N terminal domain
PF03796	Pfam	DnaB-like helicase C terminal domain
PF00226	Pfam	DnaJ domain
PF03351	Pfam	DOMON domain
PF04124	Pfam	Dor1-like family 
PF04173	Pfam	TQO small subunit DoxD
PF00930	Pfam	Dipeptidyl peptidase IV (DPP IV) N-terminal region
PF05186	Pfam	Dpy-30 motif
PF01414	Pfam	Delta serrate ligand
PF01666	Pfam	DX module
PF00782	Pfam	Dual specificity phosphatase, catalytic domain
PF00035	Pfam	Double-stranded RNA binding motif
PF01951	Pfam	Archease protein family (MTH1598/TM1083)
PF02575	Pfam	YbaB/EbfC DNA-binding family
PF02580	Pfam	D-Tyr-tRNA(Tyr) deacylase
PF02583	Pfam	Metal-sensitive transcriptional repressor
PF02588	Pfam	Uncharacterized BCR, YitT family COG1284
PF02639	Pfam	Uncharacterized BCR, YaiI/YqxD family COG1671
PF02641	Pfam	Uncharacterized ACR, COG1993
PF02958	Pfam	Ecdysteroid kinase
PF02995	Pfam	Protein of unknown function (DUF229)
PF01697	Pfam	Glycosyltransferase family 92
PF02996	Pfam	Prefoldin subunit
PF03080	Pfam	Domain of unknown function (DUF239)
PF03087	Pfam	Arabidopsis protein of unknown function
PF03103	Pfam	Domain of unknown function (DUF243)
PF03140	Pfam	Plant protein of unknown function
PF03141	Pfam	Putative S-adenosyl-L-methionine-dependent methyltransferase
PF03164	Pfam	Trafficking protein Mon1
PF03194	Pfam	LUC7 N_terminus
PF01657	Pfam	Salt stress response/antifungal
PF03195	Pfam	Protein of unknown function DUF260
PF03268	Pfam	Caenorhabditis protein of unknown function, DUF267
PF03269	Pfam	Caenorhabditis protein of unknown function, DUF268
PF03312	Pfam	Protein of unknown function (DUF272)
PF03409	Pfam	Transmembrane glycoprotein
PF03357	Pfam	Snf7
PF03380	Pfam	Caenorhabditis protein of unknown function, DUF282
PF03368	Pfam	Dicer dimerisation domain
PF03382	Pfam	Mycoplasma protein of unknown function, DUF285
PF01060	Pfam	Transthyretin-like family
PF03478	Pfam	Protein of unknown function (DUF295)
PF03556	Pfam	Cullin binding
PF03619	Pfam	Organic solute transporter Ostalpha
PF03703	Pfam	Bacterial PH domain
PF03713	Pfam	Domain of unknown function (DUF305)
PF03754	Pfam	Domain of unknown function (DUF313) 
PF03761	Pfam	Domain of unknown function (DUF316) 
PF03777	Pfam	Small secreted domain (DUF320)  
PF03860	Pfam	Domain of Unknown Function (DUF326) 
PF03935	Pfam	Beta-glucan synthesis-associated protein (SKN1)
PF03990	Pfam	Domain of unknown function (DUF348)     
PF03993	Pfam	Domain of Unknown Function (DUF349)
PF04008	Pfam	Adenosine specific kinase
PF04013	Pfam	Putative SAM-dependent RNA methyltransferase
PF04020	Pfam	Membrane protein of unknown function
PF04037	Pfam	Domain of unknown function (DUF382) 
PF04075	Pfam	Domain of unknown function (DUF385) 
PF04087	Pfam	Domain of unknown function (DUF389) 
PF04155	Pfam	Ground-like domain
PF04241	Pfam	Protein of unknown function (DUF423)
PF04255	Pfam	Protein of unknown function (DUF433)
PF01862	Pfam	Pyruvoyl-dependent arginine decarboxylase (PvlArgDC)
PF04332	Pfam	Protein of unknown function (DUF475)
PF04720	Pfam	Protein of unknown function (DUF506) 
PF04784	Pfam	Protein of unknown function, DUF547
PF04484	Pfam	Family of unknown function (DUF566) 
PF04526	Pfam	Protein of unknown function (DUF568)
PF04502	Pfam	Family of unknown function (DUF572) 
PF04504	Pfam	Protein of unknown function, DUF573
PF04535	Pfam	Domain of unknown function (DUF588)
PF01883	Pfam	Domain of unknown function DUF59
PF04547	Pfam	Calcium-activated chloride channel
PF04576	Pfam	Zein-binding
PF04642	Pfam	Protein of unknown function, DUF601
PF04641	Pfam	Rtf2 RING-finger
PF04652	Pfam	Vta1 like
PF04678	Pfam	Protein of unknown function, DUF607
PF04685	Pfam	Protein of unknown function, DUF608
PF04727	Pfam	ELMO/CED-12 family
PF04747	Pfam	Protein of unknown function, DUF612
PF04749	Pfam	PLAC8 family
PF04759	Pfam	Protein of unknown function, DUF617
PF04818	Pfam	RNA polymerase II-binding domain.
PF04789	Pfam	Protein of unknown function (DUF621)
PF04802	Pfam	Component of IIS longevity pathway SMK-1
PF04783	Pfam	Protein of unknown function (DUF630)
PF01683	Pfam	EB module
PF04782	Pfam	Protein of unknown function (DUF632)
PF04826	Pfam	Armadillo-like
PF04859	Pfam	Plant protein of unknown function (DUF641)
PF04884	Pfam	Vitamin B6 photo-protection and homoeostasis
PF04900	Pfam	Fcf1
PF04949	Pfam	Transcriptional activator
PF04950	Pfam	Protein of unknown function (DUF663)
PF05057	Pfam	Putative serine esterase (DUF676)
PF05097	Pfam	Protein of unknown function (DUF688)
PF05108	Pfam	Protein of unknown function (DUF690)
PF05127	Pfam	Helicase
PF05129	Pfam	Transcription elongation factor Elf1 like
PF05197	Pfam	TRIC channel
PF01031	Pfam	Dynamin central region
PF03028	Pfam	Dynein heavy chain and region D6 of dynein motor
PF04261	Pfam	Dyp-type peroxidase family 
PF02221	Pfam	ML domain
PF03271	Pfam	EB1-like C-terminal motif
PF05009	Pfam	Epstein-Barr virus nuclear antigen 3 (EBNA-3)
PF00679	Pfam	Elongation factor G C-terminus
PF03764	Pfam	Elongation factor G, domain IV
PF00036	Pfam	EF hand
PF04189	Pfam	Gcd10p family
PF03610	Pfam	PTS system fructose IIA component
PF01448	Pfam	ELM2 domain
PF02990	Pfam	Endomembrane protein 70
PF01223	Pfam	DNA/RNA non-specific endonuclease
PF00812	Pfam	Ephrin
PF05139	Pfam	Erythromycin esterase
PF04800	Pfam	ETC complex I subunit conserved region
PF04716	Pfam	ETC complex I subunit conserved region
PF04621	Pfam	PEA3 subfamily ETS-domain transcription factor N terminal domain
PF04777	Pfam	Erv1 / Alr family
PF03372	Pfam	Endonuclease/Exonuclease/phosphatase family
PF02609	Pfam	Exonuclease VII small subunit
PF00929	Pfam	Exonuclease
PF03016	Pfam	Exostosin family
PF03124	Pfam	EXS family
PF04554	Pfam	Extensin-like region
PF00646	Pfam	F-box domain
PF00754	Pfam	F5/8 type C domain
PF00487	Pfam	Fatty acid desaturase
PF02913	Pfam	FAD linked oxidases, C-terminal domain
PF01565	Pfam	FAD binding domain 
PF00970	Pfam	Oxidoreductase FAD-binding domain
PF03441	Pfam	FAD binding domain of DNA photolyase
PF03101	Pfam	FAR1 DNA-binding domain
PF04300	Pfam	F-box associated region
PF00611	Pfam	Fes/CIP4, and EFC/F-BAR homology domain
PF00111	Pfam	2Fe-2S iron-sulfur cluster binding domain
PF01799	Pfam	[2Fe-2S] binding domain
PF04324	Pfam	BFD-like [2Fe-2S] binding domain
PF00037	Pfam	4Fe-4S binding domain
PF00210	Pfam	Ferritin-like domain
PF01839	Pfam	FG-GAP repeat
PF02181	Pfam	Formin Homology 2 Domain
PF02661	Pfam	Fic/DOC family
PF00254	Pfam	FKBP-type peptidyl-prolyl cis-trans isomerase
PF01003	Pfam	Flavivirus capsid protein C
PF02832	Pfam	Flavivirus glycoprotein, immunoglobulin-like domain
PF00869	Pfam	Flavivirus glycoprotein, central and dimerisation domains
PF00949	Pfam	Peptidase S7, Flavivirus NS3 serine protease 
PF01004	Pfam	Flavivirus envelope glycoprotein M
PF00948	Pfam	Flavivirus non-structural Protein NS1 
PF01005	Pfam	Flavivirus non-structural protein NS2A
PF01002	Pfam	Flavivirus non-structural protein NS2B
PF01613	Pfam	Flavin reductase like domain
PF00258	Pfam	Flavodoxin
PF04500	Pfam	FLYWCH zinc finger domain
PF03358	Pfam	NADPH-dependent FMN reductase
PF02434	Pfam	Fringe-like
PF01534	Pfam	Frizzled/Smoothened family membrane region
PF01827	Pfam	FTH domain
PF01913	Pfam	Formylmethanofuran-tetrahydromethanopterin formyltransferase
PF02741	Pfam	FTR, proximal lobe
PF01728	Pfam	FtsJ-like methyltransferase
PF02687	Pfam	FtsX-like permease family
PF04082	Pfam	Fungal specific transcription factor domain 
PF01363	Pfam	FYVE zinc finger
PF01392	Pfam	Fz domain
PF01585	Pfam	G-patch domain
PF01019	Pfam	Gamma-glutamyltranspeptidase
PF04114	Pfam	Gaa1-like, GPI transamidase component 
PF01590	Pfam	GAF domain
PF01140	Pfam	Matrix protein (MA), p15
PF01141	Pfam	Gag polyprotein, inner coat protein p12
PF02140	Pfam	Galactose binding lectin domain
PF03127	Pfam	GAT domain
PF00320	Pfam	GATA zinc finger
PF00117	Pfam	Glutamine amidotransferase class-I
PF02934	Pfam	GatB/GatE catalytic domain
PF02637	Pfam	GatB domain
PF03615	Pfam	GCM motif protein
PF03074	Pfam	Glutamate-cysteine ligase
PF03009	Pfam	Glycerophosphoryl diester phosphodiesterase family
PF00626	Pfam	Gelsolin repeat
PF01408	Pfam	Oxidoreductase family, NAD-binding Rossmann fold
PF02894	Pfam	Oxidoreductase family, C-terminal alpha/beta domain
PF00990	Pfam	GGDEF domain
PF03321	Pfam	GH3 auxin-responsive promoter
PF00288	Pfam	GHMP kinases N terminal domain
PF00594	Pfam	Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain
PF00208	Pfam	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF00042	Pfam	Globin
PF04898	Pfam	Glutamate synthase central domain
PF04960	Pfam	Glutaminase
PF04488	Pfam	Glycosyltransferase sugar-binding region containing DXD motif   
PF00722	Pfam	Glycosyl hydrolases family 16
PF00704	Pfam	Glycosyl hydrolases family 18
PF02055	Pfam	O-Glycosyl hydrolase family 30
PF01055	Pfam	Glycosyl hydrolases family 31 
PF01532	Pfam	Glycosyl hydrolase family 47
PF03200	Pfam	Mannosyl oligosaccharide glucosidase
PF03648	Pfam	Glycosyl hydrolase family 67 N-terminus
PF03663	Pfam	Glycosyl hydrolase family 76 
PF03644	Pfam	Glycosyl hydrolase family 85 
PF04101	Pfam	Glycosyltransferase family 28 C-terminal domain
PF00852	Pfam	Glycosyltransferase family 10 (fucosyltransferase)
PF00982	Pfam	Glycosyltransferase family 20
PF01755	Pfam	Glycosyltransferase family 25 (LPS biosynthesis protein)
PF00777	Pfam	Glycosyltransferase family 29 (sialyltransferase)
PF03360	Pfam	Glycosyltransferase family 43
PF01501	Pfam	Glycosyl transferase family 8
PF00535	Pfam	Glycosyl transferase family 2
PF00953	Pfam	Glycosyl transferase family 4
PF00903	Pfam	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF04464	Pfam	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase 
PF00958	Pfam	GMP synthase C terminal domain
PF01825	Pfam	Latrophilin/CL-1-like GPS domain
PF02893	Pfam	GRAM domain
PF03514	Pfam	GRAS domain family
PF01465	Pfam	GRIP domain
PF02946	Pfam	GTF2I-like repeat
PF01018	Pfam	GTP1/OBG
PF00009	Pfam	Elongation factor Tu GTP binding domain
PF03144	Pfam	Elongation factor Tu domain 2
PF03143	Pfam	Elongation factor Tu C-terminal domain
PF01493	Pfam	GXGXG motif
PF02756	Pfam	GYR motif
PF03457	Pfam	Helicase associated domain
PF04408	Pfam	Helicase associated domain (HA2)
PF04774	Pfam	Hyaluronan / mRNA binding family
PF02183	Pfam	Homeobox associated leucine zipper
PF00672	Pfam	HAMP domain
PF04849	Pfam	HAP1 N-terminal conserved region
PF02184	Pfam	HAT (Half-A-TPR) repeat
PF02518	Pfam	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
PF00955	Pfam	HCO3- transporter family
PF01966	Pfam	HD domain
PF00271	Pfam	Helicase conserved C-terminal domain
PF02602	Pfam	Uroporphyrinogen-III synthase HemD
PF00173	Pfam	Cytochrome b5-like Heme/Steroid binding domain
PF01814	Pfam	Hemerythrin HHE cation binding domain
PF00353	Pfam	Hemolysin-type calcium-binding repeat (2 copies)
PF00132	Pfam	Bacterial transferase hexapeptide (six repeats)
PF03129	Pfam	Anticodon binding domain
PF03578	Pfam	HGWP repeat
PF00633	Pfam	Helix-hairpin-helix motif
PF01079	Pfam	Hint module
PF01634	Pfam	ATP phosphoribosyltransferase
PF00512	Pfam	His Kinase A (phospho-acceptor) domain
PF00850	Pfam	Histone deacetylase domain
PF00010	Pfam	Helix-loop-helix DNA-binding domain
PF00403	Pfam	Heavy-metal-associated domain
PF00368	Pfam	Hydroxymethylglutaryl-coenzyme A reductase
PF02301	Pfam	HORMA domain
PF00104	Pfam	Ligand-binding domain of nuclear hormone receptor
PF03241	Pfam	4-hydroxyphenylacetate 3-hydroxylase C terminal
PF02185	Pfam	Hr1 repeat
PF00570	Pfam	HRDC domain
PF03878	Pfam	YIF1
PF02793	Pfam	Hormone receptor domain
PF01381	Pfam	Helix-turn-helix
PF01402	Pfam	Ribbon-helix-helix protein, copG family
PF02954	Pfam	Bacterial regulatory protein, Fis family
PF04005	Pfam	Hus1-like protein
PF03810	Pfam	Importin-beta N-terminal domain
PF01485	Pfam	IBR domain
PF01614	Pfam	Bacterial transcriptional regulator
PF04760	Pfam	Translation initiation factor IF-2, N-terminal region
PF05198	Pfam	Translation initiation factor IF-3, N-terminal domain
PF05004	Pfam	Interferon-related developmental regulator (IFRD)
PF00817	Pfam	impB/mucB/samB family
PF04836	Pfam	Interferon-related protein conserved region
PF04762	Pfam	IKI3 family
PF00478	Pfam	IMP dehydrogenase / GMP reductase domain
PF03941	Pfam	Inner centromere protein, ARK binding region
PF04179	Pfam	Initiator tRNA phosphoribosyl transferase 
PF02022	Pfam	Integrase Zinc binding domain
PF00520	Pfam	Ion transport protein
PF03770	Pfam	Inositol polyphosphate kinase 
PF00612	Pfam	IQ calmodulin-binding motif
PF01007	Pfam	Inward rectifier potassium channel
PF02174	Pfam	PTB domain (IRS-1 type)
PF02922	Pfam	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
PF00857	Pfam	Isochorismatase family
PF02373	Pfam	JmjC domain, hydroxylase
PF02099	Pfam	Josephin
PF02214	Pfam	BTB/POZ domain
PF02705	Pfam	K+ potassium transporter
PF01920	Pfam	Prefoldin subunit
PF01344	Pfam	Kelch motif
PF00013	Pfam	KH domain
PF00109	Pfam	Beta-ketoacyl synthase, N-terminal domain
PF02801	Pfam	Beta-ketoacyl synthase, C-terminal domain
PF00225	Pfam	Kinesin motor domain
PF00467	Pfam	KOW motif
PF01352	Pfam	KRAB box
PF05178	Pfam	KRI1-like family
PF02735	Pfam	Ku70/Ku80 beta-barrel domain
PF03730	Pfam	Ku70/Ku80 C-terminal arm
PF03731	Pfam	Ku70/Ku80 N-terminal alpha/beta domain
PF00014	Pfam	Kunitz/Bovine pancreatic trypsin inhibitor domain
PF03521	Pfam	Kv2 voltage-gated K+ channel
PF02828	Pfam	L27 domain
PF02448	Pfam	L71 family
PF00753	Pfam	Metallo-beta-lactamase superfamily
PF02652	Pfam	L-lactate permease
PF03798	Pfam	TLC domain
PF03161	Pfam	LAGLIDADG DNA endonuclease family
PF04916	Pfam	Phospholipase B
PF04031	Pfam	Las1-like 
PF00057	Pfam	Low-density lipoprotein receptor domain class A
PF02987	Pfam	Late embryogenesis abundant protein
PF04004	Pfam	Leo1-like protein
PF00060	Pfam	Ligand-gated ion channel
PF02900	Pfam	Catalytic LigB subunit of aromatic ring-opening dioxygenase
PF03893	Pfam	Lipase 3 N-terminal region
PF01764	Pfam	Lipase (class 3)
PF04571	Pfam	lipin, N-terminal conserved region
PF03180	Pfam	NLPA lipoprotein
PF02190	Pfam	ATP-dependent protease La (LON) domain
PF00560	Pfam	Leucine Rich Repeat
PF01463	Pfam	Leucine rich repeat C-terminal domain
PF04180	Pfam	Low temperature viability protein 
PF02123	Pfam	Viral RNA-directed RNA-polymerase
PF01476	Pfam	LysM domain
PF03466	Pfam	LysR substrate binding domain
PF03816	Pfam	Cell envelope-related transcriptional attenuator domain
PF02847	Pfam	MA3 domain
PF01454	Pfam	MAGE family
PF00390	Pfam	Malic enzyme, N-terminal domain
PF03949	Pfam	Malic enzyme, NAD binding domain
PF00629	Pfam	MAM domain
PF03999	Pfam	Microtubule associated protein (MAP65/ASE1 family)
PF00917	Pfam	MATH domain
PF01429	Pfam	Methyl-CpG binding domain
PF03062	Pfam	MBOAT, membrane-bound O-acyltransferase family
PF02820	Pfam	mbt repeat
PF02470	Pfam	mce related protein
PF05053	Pfam	Menin
PF00149	Pfam	Calcineurin-like phosphoesterase
PF01420	Pfam	Type I restriction modification DNA specificity domain
PF01795	Pfam	MraW methylase family
PF05060	Pfam	N-acetylglucosaminyltransferase II (MGAT2)
PF02142	Pfam	MGS-like domain
PF01769	Pfam	Divalent cation transporter
PF00993	Pfam	Class II histocompatibility antigen, alpha domain
PF00969	Pfam	Class II histocompatibility antigen, beta domain
PF02816	Pfam	Alpha-kinase family
PF02854	Pfam	MIF4G domain
PF02815	Pfam	MIR domain
PF04212	Pfam	MIT (microtubule interacting and transport) domain
PF00153	Pfam	Mitochondrial carrier protein
PF03637	Pfam	Mob1/phocein family
PF00994	Pfam	Probable molybdopterin binding domain
PF03454	Pfam	MoeA C-terminal region (domain IV)
PF03453	Pfam	MoeA N-terminal region (domain I and II)
PF02493	Pfam	MORN repeat
PF03476	Pfam	MOSC N-terminal beta barrel domain
PF04643	Pfam	Motilin/ghrelin-associated peptide
PF04644	Pfam	Motilin/ghrelin
PF01398	Pfam	JAB1/Mov34/MPN/PAD-1 ubiquitin protease
PF01853	Pfam	MOZ/SAS family
PF04117	Pfam	Mpv17 / PMP22 family 
