id	level	description
47091	fa	Peptidoglycan binding domain, PGBD
47096	fa	HMG-box
47114	fa	Nucleosome core histones
47129	fa	Archaeal histone
47134	fa	TBP-associated factors, TAFs
47145	fa	HSC20 (HSCB), C-terminal oligomerisation domain
47149	fa	Diol dehydratase, gamma subunit
47153	fa	Methane monooxygenase hydrolase, gamma subunit
47158	fa	Mitochondrial import receptor subunit Tom20
47163	fa	Apolipoprotein
47171	fa	Aspartate receptor, ligand-binding domain
47176	fa	Cytochrome b562
47179	fa	Cytochrome c'-like
47189	fa	Hemerythrin-like
47196	fa	TMV-like viral coat proteins
47204	fa	Medium chain acyl-CoA dehydrogenase-like, C-terminal domain
47213	fa	FKBP12-rapamycin-binding domain of FKBP-rapamycin-associated protein (FRAP)
47217	fa	Proteasome activator
47221	fa	alpha-catenin/vinculin
47227	fa	Aerobic respiration control sensor protein, ArcB
47230	fa	Phosphorelay protein-like
47234	fa	Bacterial GAP domain
47241	fa	Ferritin
47253	fa	Ribonucleotide reductase-like
47267	fa	Long-chain cytokines
47286	fa	Short-chain cytokines
47305	fa	Interferons/interleukin-10 (IL-10)
47324	fa	Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases
47337	fa	Acyl-carrier protein (ACP)
47342	fa	Peptidyl carrier domain
47346	fa	Colicin E immunity proteins
47354	fa	Retrovirus capsid protein C-terminal domain
47365	fa	Domain of the SRP/SRP receptor G-proteins
47371	fa	Bromodomain
47381	fa	ROP protein
47385	fa	Homodimeric domain of signal transducing histidine kinase
47392	fa	Dimerization-anchoring domain of cAMP-dependent PK regulatory subunit
47397	fa	Transcription factor IIA (TFIIA), alpha-helical domain
47402	fa	Ectatomin subunits
47407	fa	SinR repressor dimerisation domain-like
47414	fa	POU-specific domain
47419	fa	Phage repressors
47432	fa	SinR domain-like
47435	fa	Cyanase N-terminal domain
47438	fa	GalR/LacI-like bacterial regulator
47447	fa	Signal peptide-binding domain
47455	fa	A DNA-binding domain in eukaryotic transcription factors
47460	fa	HLH, helix-loop-helix DNA-binding domain
47474	fa	Calbindin D9K
47478	fa	S100 proteins
47489	fa	Osteonectin
47492	fa	Parvalbumin
47502	fa	Calmodulin-like
47543	fa	Eps15 homology domain (EH domain)
47547	fa	EF-hand modules in multidomain proteins
47566	fa	Insect pheromone/odorant-binding proteins
47572	fa	Cloroperoxidase
47577	fa	Calponin-homology domain, CH-domain
47588	fa	Domain of poly(ADP-ribose) polymerase
47593	fa	SWIB/MDM2 domain
47599	fa	Arc/Mnt-like phage repressors
47617	fa	Glutathione S-transferase (GST), C-terminal domain
47645	fa	Methionine synthase domain
47649	fa	Nucleoside phosphorylase/phosphoribosyltransferase N-terminal domain
47656	fa	STAT
47662	fa	t-snare proteins
47669	fa	N-terminal domain of cbl (N-cbl)
47673	fa	Transferrin receptor-like dimerisation domain
47677	fa	Conserved domain common to transcription factors TFIIS, elongin A, CRSP70
47682	fa	C-terminal domain of B transposition protein
47687	fa	Anaphylotoxins (complement system)
47695	fa	Cytochrome c oxidase subunit h
47700	fa	Plant lipid-transfer and hydrophobic proteins
47708	fa	Proteinase/alpha-amylase inhibitors
47715	fa	Seed storage protein, 2S albumin
47720	fa	p53 tetramerization domain
47725	fa	Domain of early E2A DNA-binding protein, ADDBP
47730	fa	Prokaryotic DNA-bending protein
47742	fa	CO dehydrogenase ISP C-domain like
47753	fa	Protein HNS-dependent expression A; HdeA
47758	fa	Chemotaxis receptor methyltransferase CheR, N-terminal domain
47763	fa	PAH2 domain
47770	fa	Pointed domain
47773	fa	SAM (sterile alpha motif) domain
47782	fa	DNA helicase RuvA subunit, middle domain
47786	fa	NAD+-dependent DNA ligase, domain 3
47790	fa	C-terminal domain of RNA polymerase alpha subunit
47795	fa	DNA repair protein Rad51, N-terminal domain
47799	fa	Barrier-to-autointegration factor, BAF
47803	fa	DNA polymerase beta, N-terminal domain-like
47808	fa	5' to 3' exonuclease, C-terminal subdomain
47820	fa	HRDC domain from helicases
47824	fa	lambda integrase-like, N-terminal domain
47832	fa	Enzyme I of the PEP:sugar phosphotransferase system HPr-binding (sub)domain
47837	fa	Immunodeficiency virus matrix proteins
47842	fa	HTLV-II matrix protein
47845	fa	Mason-Pfizer monkey virus matrix protein
47848	fa	GAG polyprotein M-domain
47853	fa	Hepatitis B viral capsid (hbcag)
47858	fa	Apolipophorin-III
47863	fa	NKL-like
47866	fa	Swaposin
47870	fa	Bacteriocin AS-48
47875	fa	Annexin
47896	fa	Transducin (alpha subunit), insertion domain
47913	fa	Wiscott-Aldrich syndrome protein, WASP, C-terminal domain
47918	fa	C-terminal domain of alpha and beta subunits of F1 ATP synthase
47924	fa	Ypt/Rab-GAP domain of gyp1p
47929	fa	N-terminal domain of the delta subunit of the F1F0-ATP synthase
47934	fa	ERP29 C domain-like
47939	fa	Functional domain of the splicing factor Prp18
47944	fa	Retrovirus capsid protein, N-terminal core domain
47955	fa	Cyclin
47965	fa	Transcription factor IIB (TFIIB), core domain
47969	fa	Retinoblastoma tumor suppressor domains
47974	fa	Ribosomal protein S7
47980	fa	Iron-dependent repressor protein, dimerization domain
48009	fa	GntR ligand-binding domain-like
48014	fa	Antitermination factor NusB
48020	fa	DNA polymerase III clamp loader subunits, C-terminal domain
48025	fa	N-terminal domain of DnaB helicase
48030	fa	FliG
48035	fa	Guanido kinase N-terminal domain
48046	fa	Scaffolding protein gpD of bacteriophage procapsid
48051	fa	Hemocyanin, N-terminal domain
48057	fa	Hemocyanin middle domain
48061	fa	Catechol oxidase
48066	fa	DBL homology domain (DH-domain)
48077	fa	LigA subunit of an aromatic-ring-opening dioxygenase LigAB
48082	fa	Methyl-coenzyme M reductase alpha and beta chain C-terminal domain
48093	fa	Transcription factor STAT-4 N-domain
48098	fa	Regulator of G-protein signaling, RGS
48109	fa	Carbamoyl phosphate synthetase, large subunit connection domain
48114	fa	CCP-like
48132	fa	Myeloperoxidase-like
48141	fa	Ribosomal protein L19 (L19e)
48146	fa	Influenza virus matrix protein M1
48151	fa	Endonuclease III
48154	fa	Mismatch glycosylase
48157	fa	DNA repair glycosylase, 2 C-terminal domains
48164	fa	C-terminal domain of glutamyl-tRNA synthetase (GluRS)
48169	fa	R1 subunit of ribonucleotide reductase, N-terminal domain
48174	fa	Cryptochrome/photolyase FAD-binding domain
48180	fa	Hydroxyisobutyrate and 6-phosphogluconate dehydrogenase domain
48184	fa	Acetohydroxy acid isomeroreductase (ketol-acid reductoisomerase, KARI)
48187	fa	HCDH C-domain-like
48191	fa	UDP-glucose/GDP-mannose dehydrogenase dimerisation domain
48194	fa	N-(1-D-carboxylethyl)-L-norvaline dehydrogenase
48197	fa	Glycerol-3-phosphate dehydrogenase
48202	fa	Uteroglobin-like
48209	fa	Glucoamylase
48213	fa	Cellulases catalytic domain
48222	fa	N-acylglucosamine (NAG) epimerase
48226	fa	Class I alpha-1;2-mannosidase, catalytic domain
48231	fa	Alginate lyase A1-III
48234	fa	Hyaluronate lyase-like catalytic, N-terminal domain
48240	fa	Terpenoid cyclase N-terminal domain
48243	fa	Terpene synthases
48246	fa	Protein prenyltransferases
48251	fa	Complement components
48257	fa	Citrate synthase
48265	fa	Cytochrome P450
48296	fa	Trp repressor, TrpR
48301	fa	Ribosomal protein L7/12, oligomerisation (N-terminal) domain
48306	fa	Class II MHC-associated invariant chain ectoplasmic trimerization domain
48311	fa	Aldehyde ferredoxin oxidoreductase, C-terminal domains
48318	fa	Type 2 phosphatidic acid phosphatase, PAP2
48321	fa	Haloperoxidase (bromoperoxidase)
48325	fa	Chloroperoxidase
48335	fa	DNA repair protein MutS, domain III
48341	fa	Interferon-induced guanylate-binding protein 1 (GBP1), C-terminal domain
48346	fa	Orbivirus capsid
48351	fa	BCR-homology GTPase activation domain (BH-domain)
48360	fa	p120GAP domain-like
48367	fa	Ras GEF
48372	fa	Armadillo repeat
48385	fa	HEAT repeat
48390	fa	Clathrin heavy chain proximal leg segment
48393	fa	Clathrin heavy-chain linker domain
48396	fa	Leucine-rich repeat variant
48399	fa	Phoshoinositide 3-kinase (PI3K) helical domain
48404	fa	Ankyrin repeat
48426	fa	Sec7 domain
48432	fa	Lipovitellin-phosvitin complex, superhelical domain
48436	fa	Bacterial muramidases
48440	fa	Protein prenylyltransferase
48446	fa	14-3-3 protein
48453	fa	Tetratricopeptide repeat (TPR)
48465	fa	ENTH domain
48468	fa	VHS domain
48480	fa	Cytochrome c oxidase subunit E
48485	fa	Plant lipoxigenases
48489	fa	Animal lipoxigenases
48494	fa	gene 59 helicase assembly protein
48499	fa	Tetracyclin repressor-like, C-terminal domain
48509	fa	Nuclear receptor ligand-binding domain
48538	fa	Phospholipase C
48543	fa	P1 nuclease
48548	fa	PDEase
48553	fa	Serum albumin-like
48558	fa	L-aspartase/fumarase
48572	fa	HAL/PAL-like
48577	fa	Isoprenyl diphosphate synthases
48580	fa	Squalene synthase
48583	fa	Terpenoid cyclase C-terminal domain
48586	fa	Aristolochene/pentalenene synthase
48593	fa	GroEL chaperone, ATPase domain
48596	fa	Group II chaperonin (CCT, TRIC), ATPase domain
48601	fa	Dimeric chorismate mutase
48604	fa	Allosteric chorismate mutase
48609	fa	Peridinin-chlorophyll protein
48614	fa	Eukaryotic type heme oxygenase
48620	fa	Insect phospholipase A2
48623	fa	Vertebrate phospholipase A2
48648	fa	Fungal elicitin
48653	fa	Tetraspanin
48658	fa	FinO-like
48663	fa	Ribosomal protein L39e
48667	fa	Methanol dehydrogenase subunit
48671	fa	Transducin (heterotrimeric G protein), gamma chain
48675	fa	Fe-only hydrogenase smaller subunit
48679	fa	Moesin tail domain
48683	fa	Nuclear receptor coactivator Src-1
48687	fa	Proteinase A inhibitor IA3
48691	fa	Epsilon subunit of mitochondrial F1F0-ATP synthase
48696	fa	Cytochrome c3-like
48707	fa	Photosynthetic reaction centre (cytochrome subunit)
48711	fa	Di-heme elbow motif
48727	fa	V set domains (antibody variable domain-like)
48942	fa	C1 set domains (antibody constant domain-like)
49142	fa	C2 set domains
49159	fa	I set domains
49266	fa	Fibronectin type III
49300	fa	PKD domain
49304	fa	beta-Galactosidase/glucuronidase domain
49310	fa	Transglutaminase, two C-terminal domains
49314	fa	Cadherin
49320	fa	Actinoxanthin-like
49330	fa	Cu,Zn superoxide dismutase-like
49345	fa	Cytochrome domain of cellobiose dehydrogenase
49349	fa	Alpha-adaptin ear subdomain-like
49355	fa	Pilus chaperone
49360	fa	MSP-like
49364	fa	Purple acid phosphatase, N-terminal domain
49368	fa	Superoxide reductase-like
49374	fa	Invasin/intimin cell-adhesion fragments
49381	fa	Diphtheria toxin, C-terminal domain
49385	fa	Cellulose-binding domain family II
49390	fa	Cellulose-binding domain family III
49398	fa	Bacterial chitobiase, n-terminal domain
49402	fa	Collagen-binding domain of adhesin
49405	fa	Pilus subunits
49411	fa	Alpha-macroglobulin receptor domain
49442	fa	Cytochrome f, large domain
49448	fa	Second domain of Mu2 adaptin subunit (ap50) of ap2 adaptor
49453	fa	Starch-binding domain
49465	fa	Carboxypeptidase regulatory domain
49469	fa	VHL
49473	fa	Transthyretin (synonym: prealbumin)
49479	fa	Cna protein B-type domain
49483	fa	Aromatic compound dioxygenase
49494	fa	HSP40/DnaJ peptide-binding domain
49499	fa	alpha-Amylase inhibitor tendamistat
49504	fa	Plastocyanin/azurin-like
49541	fa	Periplasmic domain of cytochrome c oxidase subunit II
49550	fa	Multidomain cupredoxins
49563	fa	PLC-like (P variant)
49575	fa	Synaptotagmin-like (S variant)
49585	fa	Periplasmic chaperone C-domain
49591	fa	PHL pollen allergen
49595	fa	Rab geranylgeranyltransferase alpha-subunit, insert domain
49600	fa	MATH domain
49607	fa	Neurophysin II
49612	fa	Microviridae-like VP
49696	fa	Crystallins/Ca-binding development proteins
49710	fa	Yeast killer toxin
49713	fa	Streptomyces metalloproteinase inhibitor, SMPI
49716	fa	Killer toxin-like protein SKLP
49719	fa	Plant antimicrobial protein MIAMP1
49724	fa	Lipoxigenase N-terminal domain
49730	fa	Colipase-binding domain
49738	fa	Alpha-toxin, C-terminal domain
49743	fa	Glycosyl-asparaginase
49746	fa	Peptidylglycine alpha-hydroxylating monooxygenase, PHM
49750	fa	Coat protein p3
49753	fa	Adenovirus hexon
49759	fa	Calpain large subunit, middle domain (domain III)
49765	fa	HSP20
49768	fa	Co-chaperone p23-like
49773	fa	Ecotin, trypsin inhibitor
49778	fa	Phosphatidylethanolamine binding protein
49786	fa	Galactose-binding domain
49791	fa	Discoidin domain (FA58C, coagulation factor 5/8 C-terminal domain)
49796	fa	delta-Endotoxin, C-terminal domain
49800	fa	Ephrin receptor ligand binding domain
49803	fa	beta-Galactosidase/glucuronidase, N-terminal domain
49811	fa	CBM22
49814	fa	N-terminal domain of xrcc1
49819	fa	Top domain of virus capsid protein
49823	fa	Influenza hemagglutinin headpiece
49826	fa	Hemagglutinin domain of haemagglutinin-esterase-fusion glycoprotein HEF1
49831	fa	ENV polyprotein, receptor-binding domain
49836	fa	Adenovirus fiber protein "knob" domain
49843	fa	TNF-like
49855	fa	Spermadhesin, CUB domain
49864	fa	Hyaluronate lyase-like, C-terminal domain
49871	fa	Osmotin, thaumatin-like protein
49880	fa	SMAD domain
49885	fa	FHA domain
49890	fa	Soluble secreted chemokine inhibitor, VCCI
49895	fa	Baculovirus p35 protein
49900	fa	Legume lectins
49925	fa	Glycosyl hydrolases family 16
49932	fa	Galectin (animal S-lectin)
49944	fa	Laminin G-like module
49951	fa	Pentraxin (pentaxin)
49956	fa	Clostridium neurotoxins, the second last domain
49962	fa	Exotoxin A, N-terminal domain
49965	fa	Vibrio cholerae sialidase, N-terminal and insertion domains
49968	fa	Leech intramolecular trans-sialidase, N-terminal domain
49971	fa	Glycosyl hydrolase family 7 catalytic core
49978	fa	Xylanase/endoglucanase 11/12
49995	fa	beta-Galactosidase, domain 5
49999	fa	Amine oxidase catalytic domain
50006	fa	Hyaluronate lyase-like, central domain
50013	fa	EV matrix protein
50018	fa	gp9
50023	fa	Rieske iron-sulfur protein (ISP)
50033	fa	Ring hydroxylating alpha subunit ISP domain
50038	fa	Biotin repressor (BirA)
50041	fa	FeoA-like
50045	fa	SH3-domain
50085	fa	Myosin S1 fragment, N-terminal domain
50091	fa	R67 dihydrofolate reductase
50094	fa	Photosystem I accessory protein E (PsaE)
50098	fa	Ferredoxin thioredoxin reductase (FTR), alpha (variable) chain
50101	fa	Nitrile hydratase beta chain
50105	fa	Ribosomal proteins L24p and L21e
50110	fa	eIF5a N-terminal domain-like
50114	fa	C-terminal domain of ribosomal protein L2
50119	fa	CcdB
50123	fa	DNA-binding domain of retroviral integrase
50130	fa	GroES
50136	fa	Alcohol dehydrogenase-like, N-terminal domain
50152	fa	BglG-like antiterminator proteins
50157	fa	PDZ domain
50172	fa	Interleukin 16
50177	fa	N-terminal domains of the minor coat protein g3p
50183	fa	Sm motif of small nuclear ribonucleoproteins, SNRNP
50194	fa	Ribosomal protein L14
50200	fa	Staphylococcal nuclease
50204	fa	Bacterial AB5 toxins, B-subunits
50219	fa	Superantigen toxins, N-terminal domain
50243	fa	Tissue inhibitor of metalloproteinases, TIMP
50250	fa	Anticodon-binding domain
50259	fa	DNA helicase RuvA subunit, N-terminal domain
50263	fa	Single strand DNA-binding domain, SSB
50277	fa	Myf domain
50282	fa	Cold shock DNA-binding domain-like
50307	fa	DNA ligase/mRNA capping enzyme postcatalytic domain
50315	fa	Phage ssDNA-binding proteins
50321	fa	RNA polymerase subunit RBP8
50325	fa	Inorganic pyrophosphatase
50332	fa	Molybdate/tungstate binding protein MOP
50335	fa	BiMOP, duplicated molybdate-binding domain
50338	fa	ABC-transporter additional domain
50342	fa	CheW-like
50347	fa	Photosynthetic reaction centre, H-chain, cytoplasmic domain
50354	fa	Fibroblast growth factors (FGF)
50362	fa	Interleukin-1 (IL-1)
50371	fa	Ricin B-like
50379	fa	Cysteine rich domain
50383	fa	Agglutinin
50387	fa	Kunitz (STI) inhibitors
50399	fa	Clostridium neurotoxins, C-terminal domain
50406	fa	Fascin
50409	fa	Histidine-rich actin-binding protein (hisactophilin)
50438	fa	NADPH-cytochrome p450 reductase FAD-binding domain-like
50444	fa	L-fucose isomerase, C-terminal domain
50448	fa	Elongation factors
50461	fa	Ribosomal protein L3
50466	fa	EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain
50476	fa	PNP-oxidase like
50482	fa	NADH:FMN oxidoreductase-like
50487	fa	Post formyltransferase domain
50490	fa	3-methyladenine DNA glycosylase (AAG, ANPG, MPG)
50495	fa	Prokaryotic proteases
50514	fa	Eukaryotic proteases
50596	fa	Viral proteases
50603	fa	Viral cysteine protease of trypsin fold
50611	fa	mu transposase, C-terminal domain
50616	fa	N-terminal domain of alpha and beta subunits of F1 ATP synthase
50631	fa	Retroviral protease (retropepsin)
50646	fa	Pepsin-like
50678	fa	ValRS/IleRS/LeuRS editing domain
50686	fa	Eng V-like
50689	fa	Barwin
50693	fa	Pyruvoyl dependent aspartate decarboxylase, ADC
50696	fa	Formate dehydrogenase/DMSO reductase, C-terminal domain
50708	fa	Cdc48 N-terminal domain-like
50716	fa	Ribosomal protein L25-like
50719	fa	Gln-tRNA synthetase (GlnRS), C-terminal (anticodon-binding) domain
50724	fa	Core binding factor beta, CBF
50730	fa	Pleckstrin-homology domain (PH domain)
50755	fa	Phosphotyrosine-binding domain (PTB)
50764	fa	Ran-binding domain
50767	fa	Enabled/VASP homology 1 domain (EVH1 domain)
50776	fa	Third domain of FERM
50785	fa	Transcription factor IIA (TFIIA), beta-barrel domain
50790	fa	Herpes virus serine proteinase, assemblin
50801	fa	Pyruvate kinase beta-barrel domain
50810	fa	XRCC4, N-terminal domain
50815	fa	Retinol binding protein-like
50847	fa	Fatty acid binding protein-like
50872	fa	Thrombin inhibitor
50877	fa	Avidin/streptavidin
50883	fa	Metalloprotease inhibitor
50887	fa	D-aminopeptidase, middle and C-terminal domains
50892	fa	Cyclophilin (peptidylprolyl isomerase)
50905	fa	Oncogene products
50912	fa	Mannose 6-phosphate receptor domain
50917	fa	Rap30/74 interaction domains
50924	fa	Hemopexin-like domain
50935	fa	Tachylectin-2
50940	fa	Sialidases (neuraminidases)
50953	fa	Soluble quinoprotein glucose dehydrogenase
50957	fa	Thermostable phytase (3-phytase)
50961	fa	TolB, C-terminal domain
50966	fa	Galactose oxidase, central domain
50970	fa	Methylamine dehydrogenase, H-chain
50975	fa	Nitrous oxide reductase, N-terminal domain
50979	fa	WD40-repeat
50986	fa	Regulator of chromosome condensation RCC1
50990	fa	Clathrin heavy-chain terminal domain
50994	fa	Prolyl oligopeptidase, N-terminal domain
50999	fa	Quinoprotein alcohol dehydrogenase-like
51005	fa	C-terminal (heme d1) domain of cytochrome cd1-nitrite reductase
51012	fa	alpha-Amylases, C-terminal beta-sheet domain
51046	fa	WW domain
51056	fa	Carbohydrate binding domain
51065	fa	Head domain of nucleotide exchange factor GrpE
51070	fa	Carbonic anhydrase
51082	fa	Bacteriochlorophyll A protein
51088	fa	Outer surface protein
51093	fa	Vitelline membrane outer protein-I (VMO-I)
51097	fa	delta-Endotoxin (insectocide), middle domain
51102	fa	Mannose-binding lectins
51111	fa	alpha-D-mannose-specific plant lectins
51121	fa	Serralysin-like metalloprotease, C-terminal domain
51127	fa	Pectate lyase-like
51133	fa	Pectin lyase
51137	fa	Galacturonase
51144	fa	Chondroitinase B
51147	fa	Pectin methylesterase
51150	fa	P22 tailspike protein
51153	fa	Virulence factor P.69 pertactin
51157	fa	Insect cysteine-rich antifreeze protein
51162	fa	UDP N-acetylglucosamine acyltransferase
51165	fa	Tetrahydrodipicolinate-N-succinlytransferase, THDP-succinlytransferase, DapD
51168	fa	Galactoside acetyltransferase-like
51171	fa	GlmU C-terminal domain-like
51174	fa	gamma-carbonic anhydrase-like
51178	fa	An insect antifreeze protein
51183	fa	dTDP-sugar isomerase
51187	fa	Germin/Seed storage 7S protein
51191	fa	Type I phosphomannose isomerase
51194	fa	Homogentisate dioxygenase
51198	fa	Penicillin synthase-like
51203	fa	Clavaminate synthase
51207	fa	CO-sensing protein CooA, N-terminal domain
51210	fa	cAMP-binding domain
51216	fa	Regulatory protein AraC
51220	fa	Trp RNA-binding attenuation protein (TRAP)
51226	fa	Adenovirus
51231	fa	Biotinyl/lipoyl-carrier proteins and domains
51247	fa	BC C-terminal domain-like
51256	fa	Cytochrome f, small domain
51262	fa	Glucose permease-like
51270	fa	AFP III-like domain
51275	fa	Head decoration protein D (gpD, major capsid protein D)
51279	fa	Urease, beta-subunit
51284	fa	dUTPase-like
51290	fa	Tlp20, baculovirus telokin-like protein
51295	fa	Hedgehog C-terminal (Hog) autoprocessing domain
51298	fa	Intein (protein splicing domain)
51307	fa	LexA-related
51312	fa	Type 1 signal peptidase
51317	fa	RabGEF Mss4
51323	fa	Cyanovirin-N
51328	fa	Head-binding domain of phage P22 tailspike protein
51333	fa	E2 regulatory, transactivation domain
51339	fa	alpha-Subunit of urease
51345	fa	Epsilon subunit of F1F0-ATP synthase N-terminal domain
51352	fa	Triosephosphate isomerase (TIM)
51367	fa	Histidine biosynthesis enzymes
51372	fa	D-ribulose-5-phosphate 3-epimerase
51375	fa	Decarboxylase
51381	fa	Tryptophan biosynthesis enzymes
51392	fa	Thiamin phosphate synthase
51396	fa	FMN-linked oxidoreductases
51413	fa	Inosine monophosphate dehydrogenase (IMPDH)
51420	fa	Alanine racemase-like, N-terminal domain
51427	fa	"Hypothetical" protein ybl036c
51431	fa	Aldo-keto reductases (NADP)
51446	fa	Amylase, catalytic domain
51487	fa	beta-glycanases
51521	fa	Family 1 of glycosyl hydrolase
51534	fa	Type II chitinase
51550	fa	beta-N-acetylhexosaminidase catalytic domain
51553	fa	NagZ-like
51557	fa	Adenosine/AMP deaminase
51560	fa	alpha-subunit of urease, catalytic domain
51564	fa	Phosphotriesterase-like
51570	fa	Class I aldolase
51591	fa	Class II FBP aldolase
51594	fa	5-aminolaevulinate dehydratase, ALAD (porphobilinogen synthase)
51599	fa	Class I DAHP synthetase
51605	fa	Enolase
51609	fa	D-glucarate dehydratase-like
51622	fa	Pyruvate kinase
51629	fa	Pyruvate phosphate dikinase, C-terminal domain
51632	fa	Phosphoenolpyruvate carboxylase
51638	fa	HpcH/HpaI aldolase
51646	fa	Malate synthase G
51650	fa	RuBisCo, large subunit, C-terminal domain
51659	fa	Endonuclease IV
51662	fa	L-rhamnose isomerase
51665	fa	Xylose isomerase
51680	fa	Bacterial luciferase (alkanal monooxygenase)
51683	fa	Non-fluorescent flavoprotein (luxF, FP390)
51687	fa	F420 dependent oxidoreductases
51691	fa	NadC C-terminal domain-like
51696	fa	Mammalian PLC
51699	fa	Bacterial PLC
51704	fa	Methylmalonyl-CoA mutase, N-terminal (CoA-binding) domain
51707	fa	Glutamate mutase, large subunit
51710	fa	Diol dehydratase, alpha subunit
51714	fa	tRNA-guanine transglycosylase
51718	fa	Dihydropteroate synthetase
51723	fa	Methyltetrahydrofolate-utiluzing methyltransferases
51727	fa	Uroporphyrinogen decarboxylase, UROD
51731	fa	Methylenetetrahydrofolate reductase
51736	fa	Alcohol dehydrogenase-like, C-terminal domain
51751	fa	Tyrosine-dependent oxidoreductases
51800	fa	Glyceraldehyde-3-phosphate dehydrogenase-like, N-terminal domain
51830	fa	Formate/glycerate dehydrogenases, NAD-domain
51848	fa	LDH N-terminal domain-like
51868	fa	6-phosphogluconate dehydrogenase-like, N-terminal domain
